"ark","titre"
"cb32681022w","
Académie culinaire"
"cb32686994f","
Almanach de la bonne cuisine et de la maîtresse de maison"
"cb32687359h","
Almanach de la table"
"cb32687775v","
Almanach des chansons de table et du vin"
"cb343982165","
Almanach des gourmands (1803)"
"cb32688006b","
Almanach des ménagères et des gastronomes"
"cb32738361f","
Caveau (Le)"
"cb32738367h","
Caveau moderne ou le Rocher de Cancalle (Le)"
"cb327474861","
Conserve alimentaire (La)"
"cb327675214","
Entr'acte du gastronome (L')"
"cb327678914","
Entremets (L') : journal des restaurants, des cafés, des hôtels et des théâtres"
"cb32694565g","
Entremets du gastronome (L') : nouvelliste de tous les plaisirs, repas, voyages, bals, théâtres"
"cb327798418","
Gastronome (Le) : journal des gens du monde et des praticiens"
"cb32779843z","
Gastronome (Le) : journal universel du goût"
"cb32779845n","
Gastronomie (La). Revue de l'art culinaire ancien et moderne "
"cb389310288","
Gazetin du comestible"
"cb32780067s","
Gazette alimentaire : journal du commerce des denrées"
"cb32780885x","
Gazette des ménages"
"cb327831475","
Gourmet (Le), journal des intérêts gastronomiques"
"cb32797953g","
Journal de la cuisine française et du service de la table "
"cb32896266t","
Journal des confiseurs, pâtissiers, glaciers, fabricants de chocolats..."
"cb32799432m","
Journal des confiseurs-glaciers, chocolatiers, fabricants de confitures... (Le)"
"cb327994349","
Journal des confiseurs-pâtissiers, chocolatiers, fabricants de biscuits... (Le)"
"cb328001996","
Journal des pâtissiers-cuisiniers, biscuitiers, fabricants de pains d'épices… (Le)"
"cb32802028w","
Journal officiel de l'alimentation"
"cb328142195","
Menu parisien (Le) : indicateur de la publicité des hôtels et des restaurants"
"cb32833718c","
Pâtisserie bourgeoise (La)"
"cb343639404","
Pâtisserie française illustrée (La)"
"cb32833744x","
Pâtissier français (Le)"
"cb42748222k","
Petit almanach perpétuel de gastronomie"
"cb32859758g","
Revue gastronomique (La)"
"cb32864437p","
Salle à manger (La) : chronique de la table"
"cb328644381","
Salle à manger (La). Revue de la table et de l'office"
"cb328649748","
Sardine (La)"
"cb32865855z","
Science culinaire (La) : hygiène alimentaire"
"cb40149520n","
Table (La) : journal culinaire"
