"ark","titre"
"cb327153870","
Boulogne Gazette (The)"
"cb327342589","
Bulletin Yougoslave"
"cb327410645","
Chicago Tribune (The)"
"cb32744301t","
Colonia Italiana (la)"
"cb32748551w","
Correo de Paris ; periódico semanal de actualidades ilustradas"
"cb327491782","
Corriere italiano (Il)"
"cb32749283x","
Corsica (La)"
"cb32758565s","
Don Quijote (Rodez)"
"cb32764236m","
Eco espanol (El)"
"cb32772117s","
Exporter (The)"
"cb32777862r","
France-Italia"
"cb32779538j","
Galignani's Messenger (The)"
"cb327825638","
Giovine Italia (La)"
"cb34518294n","
Giustizia e Liberta"
"cb32786402r","
Heraldo de Paris"
"cb32787071q","
Hojas Libres"
"cb32788100q","
Iberia"
"cb32788170w","
Idea popolare (L')"
"cb34371810n","
International Herald Tribune"
"cb32794246j","
Italia"
"cb327959879","
Jeune Turquie (La)"
"cb327442993","
La Colonia Espanola"
"cb32805095r","
Lanterna (La)"
"cb32806547h","
Libéral Ottoman (Le)"
"cb32812507h","
Mècheroutiette"
"cb32815323x","
Messaggere di Parigi (Il)"
"cb32815665p","
Mezzogiorno (Il)"
"cb34501063x","
New York Herald Tribune (The)"
"cb32823862x","
Ninos espanoles"
"cb32829175s","
Operaio italiano : quindicinale sindacale dei lavoratori italiani emigrati (L')"
"cb32830010z","
Orient arabe (L')"
"cb32832307c","
Paris Chronicle"
"cb328330320","
Paris Tribune (The)"
"cb32833126b","
Parisian (The )"
"cb328337756","
Patria Italiana (La)"
"cb32834282b","
Patuet (El)"
"cb32840958n","
Pologne (La)"
"cb32862053b","
Riscatto operaio (Il)"
"cb32862078p","
Risveglio Operaio (Il)"
"cb328849422","
Unione (L')"
"cb32888526p","
Victoria (La)"
"cb328902264","
Violeta (La)"
"cb32890522k","
Voce Italiana di Dakar (La)"
"cb32890511x","
Voce del Missionario (La)"
"cb328905159","
Voce del profugo (La)"
"cb328905248","
Voce operaia"
"cb32892581k","
Voz de Madrid (La)"
