"ark","titre"
"cb32680422r","
A la page"
"cb435442510","
Almanach de Guignol"
"cb326912141","
Ami de la jeunesse (L')"
"cb32709143k","
Aventureux (L') "
"cb327110547","
Belles images (Les)"
"cb344457597","
Benjamin"
"cb32713252k","
Bob et Bobette"
"cb32828208p","
Bulletin"
"cb327370187","
Canastilla infantil (La)"
"cb327408613","
Chérubin"
"cb343857696","
Coq hardi "
"cb32764384r","
Ecole et la Famille (L')"
"cb327670641","
Enfant (L')"
"cb344546964","
Épatant ( L')"
"cb32769396z","
Essor scolaire (L')"
"cb32785285g","
Guignol"
"cb32785819b","
Hardi!"
"cb32786608c","
Heures nouvelles de l'école et de la famille (Les)"
"cb327936859","
Internationale des jeunes ( L')"
"cb32795766s","
Jeune croisé (Le)"
"cb32796161n","
Jeunesse (La )"
"cb327962868","
Jeunesse illustrée (La)"
"cb32796311n","
Jeunesse magazine"
"cb327973456","
Journal de Copain-Cop (Le ) "
"cb32797434t","
Journal de Francette et Riquet (Le)"
"cb32798952c","
Journal de Toto (Le)"
"cb327999173","
Journal des jeunes personnes"
"cb32802674q","
Jumbo"
"cb32808162s","
Lisette"
"cb344039673","
Louveteau "
"cb32810319g","
Ma récréation"
"cb328124929","
Meccano-magazine"
"bpt6k9390336","
Miousic. Journal des petits musiciens"
"cb32817940n","
Mon journal"
"cb344439239","
Nos lectures chez soi"
"cb328364246","
Petit Français illustré (Le)"
"cb32836551c","
Petit inventeur (Le)"
"cb32836967v","
Petit monde (Le)"
"cb32838655h","
Petits bonshommes (Les)"
"cb328403580","
Plume (La)"
"cb32842899f","
Primerose"
"cb32849029r","
Récits de la jeunesse (Les)"
"cb32862654b","
Romans de la jeunesse (Les)"
"cb34520353m","
Saint-Nicolas"
"cb32866823k","
Semaine des enfants (La)"
"cb32878323w","
Tourbillon"
"cb32880606d","
Trèfle (Le)"
"cb328912507","
Voix des jeunes (La )"
"cb32893863q","
Wrill. Hebdomadaire des jeunes"
