"ark","titre"
"cb32680711x","
Abeille féministe internationale (L')"
"cb32681934c","
Action féminine (L')"
"cb326819362","
Action féministe (L')"
"cb32700250z","
Apostolat des femmes"
"cb32706923f","
Aurore sociale, Organe du Parti socialiste SFIO, syndicaliste, féministe et coopératif"
"cb34491952f","
Bulletin trimestriel - Société pour l'amélioration du sort de la femme et la revendication de ses droits"
"cb32765607c","
Égyptienne (L')"
"cb327669183","
En vigie"
"cb32769095s","
Esprit de la femme (L')"
"cb327717950","
Évolution féminine (L')"
"cb32773978f","
Femme (La)"
"cb327739909","
Femme aux courses et dans les sports (La)"
"cb32774010k","
Femme dans la Cité (La)"
"cb327740159","
Femme dans la vie sociale (La)"
"cb32774020w","
Femme de France (La)"
"cb32881143g","
Femme nouvelle (La). Tribune des femmes "
"cb32774068w","
Femme sportive (La)"
"cb327772596","
Française (La )"
"cb327784470","
Fraternité"
"cb327788531","
Fronde (La)"
"cb327841760","
Groupe féministe de l'enseignement de la Loire-Inférieure :"
"cb327865517","
Heure de la femme (L')"
"cb32788194w","
Idéal social (L')"
"cb32799714h","
Journal des femmes (Le)"
"cb32802292j","
Journal pour toutes"
"cb328029062","
Jus suffragii"
"bpt6k895010h","
Petite rosse (La)"
"btv1b53014119q","
Politique des femmes (La)"
"cb32858456q","
Revue des femmes russes (La)"
"cb32881144t","
Tribune des femmes (La)"
"cb34426598d","
Union nationale des femmes"
"cb328911817","
Voix des femmes (La)"
