"ark","titre"
"cb34429261z","
Annales politiques et littéraires (Les)"
"cb327019415","
Argus méridional (L') "
"cb32702100m","
Arlequin"
"cb343612621","
Artiste (L') "
"cb327032275","
Asmodée"
"cb34427729c","
Ballade (La) Organe de décentralisation littéraire"
"cb32713336m","
Boïeldieu (Le)"
"cb344672990","
Cahiers de la quinzaine "
"cb32738422t","
Célébrité industrielle, artistique et littéraire (La)"
"cb32741146h","
Chimères"
"cb32744409v","
Colporteur (Le) "
"cb327447895","
Comédie humaine (La) "
"cb32745939d","
Comoedia"
"cb327468935","
Confluences"
"cb344299580","
Courrier français (Le)"
"cb32757459b","
Dimanche (Le)"
"cb32760459v","
Echo de la littérature et des beaux-arts en France et à l'étranger"
"cb32761608r","
Echo des jeunes (L')"
"cb327683105","
Epoque ou les Soirées européennes (L') "
"cb32768582k","
Ermitage (L')"
"cb32771260z","
Europe littéraire (L') "
"cb32771259r","
Europe littéraire (L') : journal de la littérature nationale et étrangère"
"cb32772634r","
Fabuliste (Le) "
"cb327731489","
Fantaisie parisienne (La)"
"cb327731578","
Fantaisiste (Le)"
"cb327739115","
Féérie illustrée (La)"
"cb327742820","
Feu follet (Le) "
"cb327749075","
Feuilleton (Le) "
"cb327749342","
Feuilletons du dimanche (Les)"
"cb32777345s","
France Afrique"
"cb32777792d","
France illustrée (La) "
"cb32777991m","
France moderne (La)"
"cb32778873n","
Fronde (La)"
"cb32779912z","
Gauloiserie (La) "
"cb32781310w","
Gazette littéraire"
"cb327828335","
Globe (Le)"
"cb32784085p","
Grondeur (Le)"
"cb32795393k","
Jardin des lettres (Le) "
"cb32795571t","
Jean Diable"
"cb32796142c","
Jeunesse (La)"
"cb327979733","
Journal de la famille (Le)"
"cb32798235v","
Journal de la semaine"
"cb328030102","
Juvénal (Le) "
"cb344209324","
Lisez-moi Historia"
"cb344939836","
Ménestrel (Le)"
"cb34427363f","
Mercure de France (Le)"
"cb34447294v","
Mon bonheur"
"cb32819834x","
Monte-Cristo (Le) "
"cb32820485r","
Mousquetaire (Le)"
"cb32820947k","
Musée des familles"
"cb32823917c","
Noir et Blanc"
"cb328245312","
Nos lectures"
"cb344439239","
Nos lectures chez soi"
"cb328255977","
Nouveau Diogène (Le)"
"cb32828993p","
Omnibus (L')"
"cb32831723g","
Pandore (La )"
"cb32831849f","
Panurge"
"cb34429285z","
Parnasse (Le)"
"cb32833572m","
Passant (Le)"
"cb32837551m","
Petit soleil (Le)"
"cb328375550","
Petit sou (Le)"
"cb32839361v","
Philosophe (Le)"
"cb32840480f","
Poète boiteux (Le) "
"cb328423098","
Premières illustrées (Les)"
"cb328426349","
Presse littéraire (La) "
"cb32843604m","
Programme de la Société Thalie (Le) "
"cb328467901","
Quinzaine (La)"
"cb328548425","
Reveil littéraire et artistique (Le)"
"cb344304470","
Revue blanche (La)"
"cb328567113","
Revue critique (La) "
"cb32858452b","
Revue des familles illustrée (La)"
"cb32860041v","
Revue idéaliste (La)"
"cb34430959c","
Revue nouvelle"
"cb328611610","
Revue populaire (La )"
"cb32861692n","
Revue universelle illustrée"
"cb328625782","
Roman (Le)"
"cb32862606g","
Roman pour tous (Le)"
"cb36137361q","
Romans célèbres (Les) "
"cb32862667p","
Romans militaires (Les) "
"cb32862671x","
Romans populaires illustrés (Les)"
"cb32862673m","
Romans pour rire (Les)"
"cb32870659s","
Soirées en famille (Les) "
"cb32870661b","
Soirées littéraires (Les) "
"cb328786211","
Tout nouveau"
"cb32878858x","
Train de plaisir (Le)"
"cb32889158f","
Vie mondaine (La)"
"cb328902322","
Violettes (Les) "
