"ark","titre"
"cb34387819d","
Accusateur public (L')"
"cb32691327n","
Ami des citoyens (L')"
"cb326916609","
Ami du Roi (L')"
"cb32691640p","
Ami du peuple, ou le publiciste parisien (L')"
"cb32728618x","
Bulletin du Tribunal criminel révolutionnaire, établi au Palais, à Paris, par la loi du 10 mars 1793, pour juger sans appel les conspirateurs "
"cb42371011m","
Bulletin du Tribunal criminel, établi par la loi du 17 août 1792, pour juger les conspirateurs"
"cb32747445f","
Conservateur décadaire des principes républicains et de la morale politique (Le)"
"cb37130864k","
Créole patriote (Le)"
"cb32754883k","
Défenseur de la Constitution (Le)"
"cb32795546m","
Je suis le véritable pere Duchesne, foutre"
"cb327984075","
Journal de Louis XVI et de son peuple"
"cb32797692j","
Journal de l'Empire"
"cb327981587","
Journal de la Montagne (Le)"
"cb32798285d","
Journal de la Société des amis de la constitution monarchique"
"cb327995128","
Journal des débats de la Société des amis de la Constitution, séante aux Jacobins à Paris"
"cb32802249d","
Journal politique-national"
"cb32806175n","
Lettres de Maximilien Robespierre, membre de la Convention nationale de France, à ses commettans"
"cb32834106z","
Patriote françois (Le)"
"cb32842287s","
Premier journal de la Convention nationale, ou le Point du jour"
"cb32856132d","
Révolutions de France et de Brabant"
"cb328561374","
Révolutions de Paris"
"cb32838689t","
Supplément aux Actes des apôtres. Les Petits paquets"
"cb328896115","
Vieux Cordelier (Le)"
