"ark","titre"
"cb32684538c","
Aide-mémoire du turf algérien (L')"
"cb328959504","
Amis des sports (Les)"
"cb327008618","
Archer français (L') Journal des tireurs d'arc"
"cb34474930f","
Athlète, L' (Bordeaux)"
"cb34423826n","
Athlétic"
"cb344216180","
Athlétisme (L')"
"cb344497205","
Au bord de l'eau"
"cb327071375","
Auto (L') "
"cb32707296z","
Automobile (L') "
"cb32707296z","
Automobile sur la Côte d'azur (L')"
"cb32709684j","
Ballon rond (Le)"
"cb34387729f","
Basket-ball"
"cb327126784","
Billard français (Le)"
"cb32715705x","
Boxe dans le Nord (La)"
"cb32731268w","
Bulletin nautique"
"cb32749140c","
Corrida (La)"
"cb327526094","
Cri sportif (Le)"
"cb344303451","
Culture physique (La)"
"cb32753718m","
Cyclo magazine"
"cb327537356","
Cyclotouriste (Le)"
"cb327618267","
Echo des sports (L')"
"cb32761827k","
Echo des sports de l'Afrique du Nord (L') (Alger)"
"cb34542092k","
Echo sportif de l'Afrique du Nord (L') (Oran)"
"cb32763172z","
Echo sportif du travail (L')"
"cb32763174n","
Echo sportif illustré (L')"
"cb34498594z","
Escrime et le tir ( L')"
"cb32773961q","
Fémina sport"
"cb32776349x","
Football association"
"cb32777480k","
France chevaline (La )"
"cb32778217h","
France vélocipédique (La)"
"cb327830038","
Golf (Le)"
"cb32785429j","
Gymnastic-sport-Nord (Le)"
"cb32785430r","
Gymnastique (La) "
"cb326914497","
L'Ami des sports"
"cb32812178x","
Match"
"cb38728672j","
Miroir des sports (Le)"
"cb32818437m","
Monde sportif (Le)"
"cb32819520d","
Moniteur officiel de la gymnastique et de l'escrime (Le)"
"cb328215362","
Mutuel (Le). Journal du sport et du théâtre"
"cb32833036c","
Paris-turf"
"cb32834737w","
Pédale (La)"
"cb328426887","
Presse sportive (La)"
"cb32847336c","
Radio ciné sports"
"cb32856391g","
Revue automobile du département de Constantine (La )"
"cb32860978p","
Revue officielle de l'Automobile-Club féminin de Paris, de l'Ile-de-France et de France "
"cb32863377d","
Rugby : Hebdomadaire sportif"
"cb32864046j","
Saïgon sportif"
"cb328718467","
Sport (Le ) : journal des gens du monde"
"cb32871851t","
Sport (Le) "
"cb327448523","
Sport comique illustré (Le) - Comic sport"
"cb328719126","
Sport et santé "
"cb32871946h","
Sport ouvrier (Le )"
"cb32871952f","
Sport populaire illustré (Le)"
"cb32871962r","
Sport universel illustré (Le)"
"cb32872059m","
Sports Camping"
"cb344252343","
Sports de neige et de glace"
"cb32872093s","
Sports des Vosges"
"cb328721069","
Sports du Nord (Les )"
"cb328721398","
Sports féminins (Les)"
"cb34519605j","
Très sport"
"cb32883851h","
Union des sports (L') (Vitry-sur-Seine)"
"cb32884856g","
Union sportive du Nord (L')"
"cb32887197v","
Véloce-Sport"
"cb32888685g","
Vie au grand air (La)"
