ark,titre
cb326819451,"
Action française (L')"
cb32706846t,"
Aurore (L')"
cb34371852k,"
Aurore (L') Organe de la résistance républicaine"
cb327071375,"
Auto (L')"
cb32738400h,"
Ce Soir"
cb32740226x,"
Charente (La)"
cb34501455d,"
Combat"
cb32745939d,"
Comoedia"
cb32747578p,"
Constitutionnel (Le)"
cb34448436g,"
Corsaire (Le)"
cb32752488q,"
Cri du Peuple (Le)"
cb343631418,"
Croix (La)"
cb327558876,"
Dépêche (La )"
cb327596899,"
Echo d'Alger (L')"
cb32759772v,"
Echo d'Oran (L')"
cb34429768r,"
Echo de Paris (L')"
cb32771891w,"
Excelsior"
cb34355551z,"
Figaro (Le)"
cb343599097,"
Figaro (Le). Supplément littéraire"
cb32777201w,"
Franc-Tireur (Le)"
cb32778160c,"
France Soir"
cb32779904b,"
Gaulois (Le)"
cb344298410,"
Gil Blas"
cb32783482h,"
Grand Echo du Nord (Le)"
cb32787196b,"
Homme libre (L')"
cb327877302,"
Humanité (L')"
cb32793876w,"
Intransigeant (L')"
cb34473289x,"
Journal (Le)"
cb327986698,"
Journal de Paris"
cb39294634r,"
Journal des Débats politiques et littéraires (Le)"
cb32802914p,"
Justice (La)"
cb328051026,"
Lanterne (La)"
cb328066631,"
Liberté (La)"
cb328123058,"
Matin (Le)"
cb345202222,"
Monde (Le)"
cb32822285p,"
National (Le)"
cb34429265b,"
Oeuvre (L')"
cb32830550k,"
Ouest-Éclair (L')"
cb328321263,"
Paris Journal"
cb32832672n,"
Paris Midi"
cb34519208g,"
Paris-Soir"
cb32895690j,"
Petit Journal (Le)"
cb328366671,"
Petit Journal illustré (Le)"
cb344696449,"
Petit Marocain (Le)"
cb34419111x,"
Petit Parisien (Le) : journal quotidien du soir"
cb344191170,"
Petit Parisien (Le). Supplément littéraire illustré "
cb32837965d,"
Petite Presse (La)"
cb34393339w,"
Populaire (Le)"
cb34448033b,"
Presse (La)"
cb32847124t,"
Radical (Le)"
cb328479063,"
Rappel (Le)"
cb32868136g,"
Siècle (Le)"
cb34431794k,"
Temps (Le)"
cb34520232c,"
Univers (L')"
cb32757974m,"
XIXe siècle (Le)"
