"ark","titre"
"cb361400784","
Artésienne (L')"
"cb437750075","
Artois en armes (L')"
"cb437755097","
Avant-garde (L') (Douai)"
"cb32707605x","
Avant-garde (L') (Pas-de-Calais)"
"cb327076304","
Avant-garde (L') (région du Nord)"
"cb327082381","
Avenir de l'Est (L')"
"cb36139798n","
Avenir lensois (L')"
"cb327392215","
Chaîne d'union lorraine (La)"
"cb32744532n","
Combat (Le) (Liévin)"
"cb32754469x","
Défense des jeunes textiles (La)"
"cb32754770z","
Défense lorraine (La)"
"cb36139984h","
Empoisonné (L') (région lilloise)"
"cb32766698r","
En avant ! (Nord)"
"cb32766691b","
En avant (Jeunes mineurs)"
"cb327666993","
En avant (Longwy)"
"cb36140008z","
En avant (région Nord)"
"cb32766929r","
Enchaîné (L') (Pas-de-Calais)"
"cb327669272","
Enchaîné du Nord et du Pas-de-Calais (L')"
"cb32768970p","
Espoir (L') (Carvin)"
"cb43780552c","
Espoir du Valenciennois (L')"
"cb32769067j","
Espoir roubaisien (L')"
"cb327740008","
Femme comtoise (La)"
"cb327770527","
Franc-comtois (Le)"
"cb327770589","
Franc-comtoise (La) (Belfort)"
"cb34420729p","
Franche-Comté libération (Besançon)"
"cb327782552","
Franche-Comté libre (La)"
"cb327789461","
Front national (Lille)"
"cb437812178","
Front national (Sambre et Avesnois)"
"cb344265434","
Frontière (Pontarlier)"
"cb36139975j","
Galibot (Le) (région Nord)"
"cb36140014w","
Hardi !!!"
"cb32786048z","
Haute-Saône libre (La)"
"cb327871939","
Homme libre (L') (zone interdite du Nord)"
"cb32789237k","
Indépendance (L') (Pas-de-Calais)"
"cb327956148","
Jeanne la Lorraine"
"cb36140350k","
Jeune Camberlot (Le)"
"cb36140242p","
Jeune combattant (Le) (région du Nord)"
"cb361403481","
Jeune combattant du Pas-de-Calais (Le)"
"cb36140353m","
Jeune fille du Nord"
"cb36140639w","
Jeune métallo (Le) (région du Nord)"
"cb361404427","
Jeune patriote du Nord de la France (Le)"
"cb36140474v","
Jeune paysan patriote (Le) (Pas-de-Calais)"
"cb32797482p","
Journal de Harnes (Le)"
"cb32802371v","
Journal syndical des travailleurs du Pas-de-Calais"
"cb32806608w","
Libération du Nord et du Pas de Calais"
"cb32806679d","
Liberté (Charleville)"
"cb34426641q","
Libre Comté (La)"
"cb32809328d","
Lorraine"
"cb43784866v","
Louise de Bettignies (Les)"
"cb437998815","
Mariannes (Les) (Nord & Pas-de-Calais)"
"cb32811826c","
Marraine du réfractaire (La)"
"cb32814092p","
Ménagère (La) (Nord & Pas-de-Calais)"
"cb328140900","
Ménagère (La) (Pas-de-Calais)"
"cb437852235","
Ménagère du Nord (La)"
"cb328153635","
Métal rouge (Le)"
"cb361406732","
Métallo (Le) (Bassin de la Sambre)"
"cb437999416","
Métallo (Le) (Valenciennes-Anzin-Denain)"
"cb36140630s","
Métallo (Le) (région de Lille-Roubaix-Tourcoing)"
"cb36140674d","
Métallo (Le) (région lilloise)"
"cb32824080w","
Nord libre (Le)"
"cb328250130","
Notre combat (Pas-de-Calais)"
"cb361407453","
Patrie (La) (Carvin)"
"cb32833890c","
Patriote (Le) (Nord & Pas-de-Calais)"
"cb43787075b","
Patriote comtois (Le)"
"cb32833971c","
Patriote de l'Avesnois (Le)"
"cb328340865","
Patriote du Pas-de-Calais (Le)"
"cb32834943c","
Pensée française (La) (Nord et Pas-de-Calais)"
"cb43788017d","
Pour l'avenir (régions du nord de la France)"
"cb32841772w","
Pour la libération (Lille-Roubaix-Tourcoing)"
"cb32844541s","
Prolétaire (Le) (Avion)"
"cb32844594c","
Prolétaire lensois (Le)"
"cb328476602","
Raison humaine (La) (Pas-de-Calais)"
"cb43788147m","
Revanche (La) (Nord)"
"cb32867251d","
Semeur (Le) (Montbéliard)"
"cb32876826t","
Terre (La) (Nord & Pas-de-Calais)"
"cb36140905d","
Tracteur (Le) (département du Nord)"
"cb32879168j","
Trait d'union (Le) (S.G.M.A.)"
"cb43790007c","
Union (L') (Armentières)"
"cb328866970","
Vaincre (Cambrésis et Douaisis)"
"cb32886744p","
Valenciennois patriote (Le)"
"cb32887707q","
Vérité (La) (Avesnois)"
"cb32887725n","
Vérité (La) (Sallaumines)"
"cb32889250z","
Vie ouvrière (La) (Pas-de-Calais)"
"cb36140876n","
Vigilant (Le) (Bassin de la Sambre)"
"cb32890843c","
Voix de l'Est (La) (Nancy)"
"cb344184287","
Voix du Nord (La)"
"cb42333046x","
Voix du jeune mineur (La)"
"cb32891635f","
Voix du peuple (La) (Auchel)"
"cb36140873m","
Voix du textile (La) (Nord)"
