n,annee
15053,1701
289939,1704
12469,1711
115296,1713
9505,1714
179292,1715
129582,1719
108439,1722
125470,1725
158144,1726
211070,1727
14309,1732
89265,1734
83836,1740
13781,1741
12691,1743
77403,1746
81314,1747
631421,1748
24936,1749
362749,1751
502387,1753
3088,1754
5787,1756
75381,1757
55563,1758
56625,1759
327046,1760
7000,1761
97047,1762
89970,1763
315238,1764
25935,1765
47948,1766
45163,1767
101755,1768
57450,1771
25927,1772
8387,1773
78425,1777
88057,1780
20341,1781
302248,1782
24686,1784
157809,1785
43686,1786
173026,1787
499749,1788
114674,1789
668037,1790
11254,1791
25188,1792
96282,1794
112715,1795
170342,1796
304085,1797
217471,1798
52195,1799
27769,1800
446753,1802
19812,1805
192672,1806
414522,1807
62551,1808
4301,1810
162271,1812
66358,1813
44592,1814
132593,1815
158548,1816
11399,1817
395848,1818
32492,1819
177466,1820
91026,1821
30041,1822
368671,1823
215738,1824
17992,1825
241999,1826
70043,1827
89097,1828
296783,1829
158296,1830
234954,1831
678930,1832
442965,1833
467570,1834
376341,1835
317195,1836
156081,1837
1830525,1838
1112684,1839
645731,1840
655418,1841
471215,1842
987027,1843
863633,1844
1007071,1845
409949,1846
444797,1847
572661,1848
286375,1849
515114,1850
161352,1851
1248065,1852
1678143,1853
440738,1854
559539,1855
745798,1856
891625,1857
1095607,1858
906579,1859
608295,1860
886983,1861
976433,1862
906764,1863
891980,1864
699898,1865
569774,1866
243717,1867
763917,1868
1037322,1869
779913,1870
821776,1871
463023,1872
1125627,1873
1395953,1874
1188649,1875
1213216,1876
933713,1877
670802,1878
1100621,1879
1209808,1880
724703,1881
681393,1882
1295837,1883
804698,1884
1085922,1885
418013,1886
925124,1887
491904,1888
708275,1889
1201437,1890
516086,1891
1106233,1892
1132742,1893
871303,1894
1051098,1895
1209822,1896
1456699,1897
699626,1898
1217097,1899
765796,1900
1305946,1901
782568,1902
1090144,1903
1191520,1904
1878008,1905
848288,1906
1579556,1907
1679269,1908
1102993,1909
815578,1910
1667296,1911
1245652,1912
1436172,1913
623886,1914
632434,1915
1040944,1916
585721,1917
503971,1918
2101521,1919
1206636,1920
1957115,1921
2549558,1922
1874684,1923
2318757,1924
2954576,1925
2615416,1926
2464155,1927
3497941,1928
3096359,1929
3412854,1930
3761376,1931
3792144,1932
3485766,1933
3517737,1934
3272262,1935
5024061,1936
4121396,1937
3004453,1938
4056962,1939
2612596,1940
2312251,1941
1879676,1942
3125376,1943
2465257,1944
4285550,1945
3083603,1946
4222160,1947
4235330,1948
5061780,1949
5380244,1950
6504291,1951
6724812,1952
5267046,1953
4705958,1954
4779953,1955
5362845,1956
6153258,1957
5532138,1958
6056531,1959
7931920,1960
6411468,1961
6811455,1962
7603657,1963
7048292,1964
6328597,1965
9312979,1966
9421582,1967
10296107,1968
10721694,1969
10551871,1970
10696355,1971
11072172,1972
12227510,1973
13508599,1974
13493400,1975
14357113,1976
16586893,1977
18018719,1978
18935218,1979
19242656,1980
21958315,1981
22849569,1982
22330565,1983
23921792,1984
24614302,1985
27246822,1986
26920552,1987
32110585,1988
34072325,1989
36016871,1990
33728431,1991
39159223,1992
39238926,1993
43233672,1994
47787284,1995
48889760,1996
51191755,1997
59182241,1998
57427424,1999
58163164,2000
64778946,2001
69146339,2002
74979557,2003
76647879,2004
87505236,2005
96949204,2006
104754525,2007
110077056,2008
137189399,2009
153504170,2010
186107922,2011
208798399,2012
236904563,2013
235253965,2014
209959103,2015
133425312,2016
117225831,2017
109606713,2018
108357786,2019
89069596,2020
87882310,2021
58809806,2022
31892577,2023
13857005,2024
229841,2025
