n,annee,mois
60857,2008,3
49201,2008,4
39018,2008,5
50319,2008,6
108436,2008,7
61929,2008,8
141301,2008,9
113482,2008,10
104116,2008,11
144700,2008,12
95586,2009,1
99312,2009,2
111413,2009,3
97421,2009,4
107575,2009,5
97017,2009,6
85153,2009,7
63180,2009,8
84601,2009,9
84761,2009,10
111272,2009,11
118697,2009,12
104031,2010,1
84337,2010,2
85344,2010,3
92696,2010,4
115041,2010,5
105690,2010,6
119002,2010,7
71580,2010,8
106066,2010,9
127974,2010,10
103533,2010,11
108521,2010,12
99332,2011,1
72319,2011,2
76070,2011,3
139921,2011,4
186972,2011,5
143866,2011,6
163719,2011,7
143358,2011,8
137996,2011,9
175575,2011,10
169475,2011,11
143236,2011,12
194691,2012,1
157689,2012,2
163506,2012,3
170459,2012,4
126577,2012,5
186115,2012,6
169763,2012,7
124421,2012,8
158120,2012,9
160675,2012,10
157968,2012,11
140892,2012,12
162757,2013,1
150336,2013,2
153474,2013,3
195097,2013,4
179761,2013,5
160469,2013,6
216218,2013,7
135006,2013,8
203662,2013,9
211090,2013,10
183993,2013,11
163425,2013,12
215272,2014,1
223753,2014,2
242583,2014,3
217753,2014,4
227674,2014,5
214110,2014,6
246251,2014,7
214568,2014,8
236834,2014,9
277631,2014,10
227159,2014,11
254565,2014,12
302400,2015,1
232599,2015,2
281530,2015,3
255424,2015,4
262540,2015,5
285060,2015,6
290500,2015,7
194324,2015,8
315930,2015,9
303810,2015,10
327941,2015,11
347389,2015,12
278335,2016,1
305492,2016,2
331708,2016,3
289735,2016,4
296817,2016,5
324223,2016,6
293832,2016,7
212455,2016,8
267576,2016,9
337701,2016,10
323691,2016,11
349650,2016,12
333196,2017,1
320557,2017,2
375846,2017,3
359096,2017,4
331417,2017,5
294259,2017,6
318656,2017,7
257118,2017,8
290862,2017,9
359041,2017,10
258285,2017,11
292776,2017,12
274643,2018,1
294145,2018,2
381887,2018,3
319700,2018,4
308232,2018,5
336145,2018,6
272029,2018,7
254863,2018,8
265808,2018,9
342942,2018,10
419541,2018,11
332669,2018,12
395563,2019,1
368212,2019,2
460675,2019,3
437694,2019,4
490942,2019,5
401218,2019,6
424800,2019,7
334569,2019,8
452433,2019,9
540140,2019,10
408014,2019,11
414749,2019,12
405407,2020,1
408651,2020,2
538071,2020,3
526180,2020,4
479700,2020,5
486161,2020,6
439578,2020,7
321336,2020,8
486502,2020,9
515258,2020,10
525268,2020,11
551515,2020,12
456449,2021,1
417730,2021,2
524478,2021,3
447411,2021,4
438217,2021,5
488967,2021,6
455532,2021,7
370846,2021,8
441976,2021,9
487401,2021,10
449909,2021,11
469767,2021,12
439445,2022,1
451291,2022,2
623767,2022,3
548297,2022,4
434860,2022,5
448001,2022,6
429787,2022,7
359494,2022,8
442154,2022,9
505027,2022,10
467281,2022,11
472348,2022,12
489187,2023,1
420537,2023,2
478086,2023,3
460482,2023,4
449570,2023,5
461392,2023,6
468174,2023,7
436515,2023,8
446669,2023,9
596423,2023,10
553197,2023,11
500372,2023,12
470052,2024,1
462606,2024,2
442488,2024,3
