"date","rights","n"
"1631","accès dans Gallica",1
"1632","accès dans Gallica",2
"1633","accès dans Gallica",2
"1634","accès dans Gallica",2
"1635","accès dans Gallica",1
"1636","accès dans Gallica",1
"1640","accès dans Gallica",1
"1641","accès dans Gallica",1
"1642","accès dans Gallica",3
"1643","accès dans Gallica",1
"1644","accès dans Gallica",156
"1645","accès dans Gallica",1
"1646","accès dans Gallica",3
"1647","accès dans Gallica",75
"1648","accès dans Gallica",2
"1649","accès dans Gallica",25
"1650","accès dans Gallica",3
"1651","accès dans Gallica",3
"1652","accès dans Gallica",5
"1653","accès dans Gallica",2
"1654","accès dans Gallica",91
"1655","accès dans Gallica",2
"1656","accès dans Gallica",89
"1657","accès dans Gallica",2
"1658","accès dans Gallica",2
"1659","accès dans Gallica",2
"1660","accès dans Gallica",1
"1661","accès dans Gallica",2
"1662","accès dans Gallica",75
"1663","accès dans Gallica",2
"1664","accès dans Gallica",2
"1665","accès dans Gallica",2
"1666","accès dans Gallica",4
"1667","accès dans Gallica",91
"1668","accès dans Gallica",6
"1669","accès dans Gallica",82
"1670","accès dans Gallica",2
"1671","accès dans Gallica",3
"1672","accès dans Gallica",85
"1673","accès dans Gallica",1
"1674","accès dans Gallica",63
"1675","accès dans Gallica",127
"1676","accès dans Gallica",116
"1677","accès dans Gallica",2
"1678","accès dans Gallica",8
"1678","autre accès restreint",2
"1679","accès dans Gallica",18
"1680","accès dans Gallica",17
"1681","accès dans Gallica",15
"1682","accès dans Gallica",13
"1683","accès dans Gallica",14
"1684","accès dans Gallica",13
"1685","accès dans Gallica",14
"1686","accès dans Gallica",16
"1687","accès dans Gallica",15
"1688","accès dans Gallica",16
"1689","accès dans Gallica",75
"1690","accès dans Gallica",14
"1691","accès dans Gallica",15
"1692","accès dans Gallica",15
"1693","accès dans Gallica",14
"1694","accès dans Gallica",14
"1695","accès dans Gallica",67
"1696","accès dans Gallica",18
"1697","accès dans Gallica",120
"1697","accès dans Retronews",88
"1698","accès dans Gallica",21
"1698","accès dans Retronews",103
"1699","accès dans Gallica",16
"1699","accès dans Retronews",7
"1699","autre accès restreint",4
"1700","accès dans Gallica",19
"1700","accès dans Retronews",9
"1701","accès dans Gallica",16
"1701","accès dans Retronews",11
"1702","accès dans Gallica",18
"1702","accès dans Retronews",12
"1703","accès dans Gallica",15
"1703","accès dans Retronews",12
"1704","accès dans Gallica",19
"1704","accès dans Retronews",12
"1705","accès dans Gallica",16
"1705","accès dans Retronews",12
"1706","accès dans Gallica",16
"1706","accès dans Retronews",12
"1707","accès dans Gallica",17
"1707","accès dans Retronews",3
"1708","accès dans Gallica",19
"1708","accès dans Retronews",3
"1709","accès dans Gallica",16
"1709","accès dans Retronews",105
"1710","accès dans Gallica",16
"1710","accès dans Retronews",34
"1711","accès dans Gallica",16
"1711","accès dans Retronews",105
"1712","accès dans Gallica",65
"1712","accès dans Retronews",83
"1713","accès dans Gallica",16
"1713","accès dans Retronews",42
"1714","accès dans Gallica",68
"1714","accès dans Retronews",45
"1715","accès dans Gallica",20
"1715","accès dans Retronews",96
"1716","accès dans Gallica",20
"1716","accès dans Retronews",100
"1717","accès dans Gallica",29
"1717","accès dans Retronews",110
"1718","accès dans Gallica",26
"1718","accès dans Retronews",113
"1719","accès dans Gallica",24
"1719","accès dans Retronews",114
"1720","accès dans Gallica",25
"1720","accès dans Retronews",112
"1721","accès dans Gallica",75
"1721","accès dans Retronews",119
"1722","accès dans Gallica",79
"1722","accès dans Retronews",101
"1723","accès dans Gallica",36
"1723","accès dans Retronews",103
"1724","accès dans Gallica",27
"1724","accès dans Retronews",99
"1725","accès dans Gallica",45
"1725","accès dans Retronews",10
"1726","accès dans Gallica",29
"1726","accès dans Retronews",11
"1727","accès dans Gallica",26
"1727","accès dans Retronews",6
"1728","accès dans Gallica",26
"1728","accès dans Retronews",11
"1729","accès dans Gallica",23
"1729","accès dans Retronews",8
"1730","accès dans Gallica",22
"1730","accès dans Retronews",7
"1731","accès dans Gallica",24
"1731","accès dans Retronews",8
"1732","accès dans Gallica",21
"1732","accès dans Retronews",10
"1733","accès dans Gallica",24
"1733","accès dans Retronews",13
"1734","accès dans Gallica",24
"1734","accès dans Retronews",51
"1735","accès dans Gallica",78
"1735","accès dans Retronews",102
"1736","accès dans Gallica",34
"1736","accès dans Retronews",81
"1737","accès dans Gallica",31
"1737","accès dans Retronews",132
"1738","accès dans Gallica",25
"1738","accès dans Retronews",133
"1739","accès dans Gallica",25
"1739","accès dans Retronews",141
"1740","accès dans Gallica",35
"1740","accès dans Retronews",95
"1741","accès dans Gallica",81
"1741","accès dans Retronews",122
"1742","accès dans Gallica",29
"1742","accès dans Retronews",115
"1743","accès dans Gallica",35
"1743","accès dans Retronews",91
"1744","accès dans Gallica",83
"1744","accès dans Retronews",53
"1745","accès dans Gallica",28
"1745","accès dans Retronews",44
"1746","accès dans Gallica",123
"1746","accès dans Retronews",58
"1747","accès dans Gallica",176
"1747","accès dans Retronews",61
"1748","accès dans Gallica",128
"1748","accès dans Retronews",60
"1749","accès dans Gallica",172
"1749","accès dans Retronews",7
"1750","accès dans Gallica",126
"1750","accès dans Retronews",11
"1751","accès dans Gallica",23
"1751","accès dans Retronews",9
"1752","accès dans Gallica",110
"1752","accès dans Retronews",114
"1753","accès dans Gallica",131
"1753","accès dans Retronews",13
"1754","accès dans Gallica",89
"1754","accès dans Retronews",14
"1755","accès dans Gallica",48
"1755","accès dans Retronews",14
"1756","accès dans Gallica",52
"1756","accès dans Retronews",16
"1757","accès dans Gallica",158
"1757","accès dans Retronews",15
"1758","accès dans Gallica",45
"1758","accès dans Retronews",16
"1759","accès dans Gallica",26
"1759","accès dans Retronews",25
"1760","accès dans Gallica",104
"1760","accès dans Retronews",79
"1761","accès dans Gallica",95
"1761","accès dans Retronews",58
"1762","accès dans Gallica",186
"1762","accès dans Retronews",26
"1763","accès dans Gallica",345
"1763","accès dans Retronews",92
"1764","accès dans Gallica",222
"1764","accès dans Retronews",117
"1765","accès dans Gallica",272
"1765","accès dans Retronews",121
"1766","accès dans Gallica",248
"1766","accès dans Retronews",116
"1767","accès dans Gallica",230
"1767","accès dans Retronews",121
"1768","accès dans Gallica",233
"1768","accès dans Retronews",117
"1769","accès dans Gallica",231
"1769","accès dans Retronews",120
"1770","accès dans Gallica",288
"1770","accès dans Retronews",120
"1771","accès dans Gallica",245
"1771","accès dans Retronews",167
"1772","accès dans Gallica",133
"1772","accès dans Retronews",170
"1773","accès dans Gallica",321
"1773","accès dans Retronews",170
"1774","accès dans Gallica",387
"1774","accès dans Retronews",273
"1775","accès dans Gallica",360
"1775","accès dans Retronews",271
"1776","accès dans Gallica",306
"1776","accès dans Retronews",174
"1777","accès dans Gallica",360
"1777","accès dans Retronews",531
"1777","autre accès restreint",4
"1778","accès dans Gallica",357
"1778","accès dans Retronews",547
"1779","accès dans Gallica",380
"1779","accès dans Retronews",563
"1780","accès dans Gallica",254
"1780","accès dans Retronews",576
"1781","accès dans Gallica",297
"1781","accès dans Retronews",573
"1782","accès dans Gallica",178
"1782","accès dans Retronews",471
"1783","accès dans Gallica",240
"1783","accès dans Retronews",563
