"date","rights","n"
"1380","document libre de droits",1
"1519","document libre de droits",2
"1537","document libre de droits",1
"1538","document libre de droits",1
"1542","document libre de droits",1
"1544","document libre de droits",1
"1545","document libre de droits",1
"1546","document libre de droits",1
"1547","document libre de droits",1
"1549","document libre de droits",1
"1550","document libre de droits",5
"1551","document libre de droits",4
"1552","document libre de droits",6
"1554","document libre de droits",1
"1556","document libre de droits",2
"1557","document libre de droits",1
"1559","document libre de droits",1
"1561","document libre de droits",1
"1562","document libre de droits",4
"1563","document libre de droits",6
"1564","document libre de droits",1
"1566","document libre de droits",5
"1567","document libre de droits",10
"1568","document libre de droits",1
"1569","document libre de droits",5
"1570","document libre de droits",2
"1571","document libre de droits",2
"1572","document libre de droits",2
"1573","document libre de droits",3
"1574","document libre de droits",4
"1576","document libre de droits",2
"1578","document libre de droits",1
"1580","document libre de droits",1
"1581","document libre de droits",11
"1582","document libre de droits",1
"1583","document libre de droits",1
"1584","document libre de droits",1
"1585","document libre de droits",4
"1586","document libre de droits",2
"1587","document libre de droits",5
"1588","document libre de droits",8
"1589","document libre de droits",18
"1590","document libre de droits",8
"1591","document libre de droits",1
"1592","document libre de droits",1
"1593","document libre de droits",3
"1595","document libre de droits",5
"1596","document libre de droits",5
"1597","document libre de droits",11
"1598","document libre de droits",1
"1599","document libre de droits",4
"1600","document libre de droits",7
"1601","document libre de droits",24
"1602","document libre de droits",39
"1603","document libre de droits",19
"1604","document libre de droits",40
"1605","document libre de droits",29
"1606","document libre de droits",27
"1607","document libre de droits",38
"1608","document libre de droits",52
"1609","document libre de droits",77
"1610","document libre de droits",83
"1611","document libre de droits",59
"1612","document libre de droits",50
"1613","document libre de droits",32
"1614","document libre de droits",44
"1615","document libre de droits",59
"1616","document libre de droits",80
"1617","document libre de droits",111
"1618","document libre de droits",41
"1619","document libre de droits",63
"1620","document libre de droits",110
"1621","document libre de droits",85
"1622","document libre de droits",80
"1623","document libre de droits",66
"1624","document libre de droits",73
"1625","document libre de droits",63
"1626","document libre de droits",130
"1627","document libre de droits",143
"1628","document libre de droits",79
"1629","document libre de droits",79
"1630","document libre de droits",78
"1631","document libre de droits",57
"1632","document libre de droits",72
"1633","document libre de droits",110
"1634","document libre de droits",124
"1635","document libre de droits",142
"1636","document libre de droits",140
"1637","document libre de droits",59
"1638","document libre de droits",57
"1639","document libre de droits",85
"1640","document libre de droits",70
"1641","document libre de droits",49
"1642","document libre de droits",50
"1643","document libre de droits",81
"1644","document libre de droits",50
"1645","document libre de droits",56
"1646","document libre de droits",35
"1647","document libre de droits",42
"1648","document libre de droits",41
"1649","document libre de droits",311
"1650","document libre de droits",84
"1651","document libre de droits",80
"1652","document libre de droits",102
"1653","document libre de droits",41
"1654","document libre de droits",50
"1655","document libre de droits",38
"1656","document libre de droits",40
"1657","document libre de droits",44
"1658","document libre de droits",26
"1659","document libre de droits",43
"1660","document libre de droits",67
"1661","document libre de droits",55
"1662","document libre de droits",39
"1663","document libre de droits",51
"1664","document libre de droits",56
"1665","document libre de droits",42
"1666","document libre de droits",54
"1667","document libre de droits",54
"1668","document libre de droits",55
"1669","document libre de droits",53
"1670","document libre de droits",36
"1671","document libre de droits",52
"1672","document libre de droits",49
"1673","document libre de droits",55
"1674","document libre de droits",50
"1675","document libre de droits",43
"1676","document libre de droits",36
"1677","document libre de droits",46
"1678","document libre de droits",43
"1679","document libre de droits",44
"1680","document libre de droits",47
"1680","document sous droits",1
"1681","document libre de droits",34
"1682","document libre de droits",42
"1683","document libre de droits",61
"1684","document libre de droits",58
"1685","document libre de droits",64
"1686","document libre de droits",58
"1687","document libre de droits",57
"1688","document libre de droits",70
"1689","document libre de droits",50
"1690","document libre de droits",76
"1691","document libre de droits",67
"1692","document libre de droits",53
"1693","document libre de droits",109
"1694","document libre de droits",69
"1695","document libre de droits",49
"1696","document libre de droits",80
"1697","document libre de droits",75
"1698","document libre de droits",70
"1699","document libre de droits",90
"1700","document libre de droits",105
"1701","document libre de droits",77
"1702","document libre de droits",62
"1703","document libre de droits",56
