"date","Mean","Max","Min","Median","Std"
"1380",13,13,13,13,NA
"1519",624,884,364,624,367.695526217005
"1537",210,210,210,210,NA
"1538",174,174,174,174,NA
"1542",210,210,210,210,NA
"1544",26,26,26,26,NA
"1545",60,60,60,60,NA
"1546",28,28,28,28,NA
"1547",628,628,628,628,NA
"1549",30,30,30,30,NA
"1550",100.8,256,30,40,98.8999494438698
"1551",163.5,470,26,79,205.986245495502
"1552",57.1666666666667,215,10,29,77.7802459925826
"1554",246,246,246,246,NA
"1556",118,224,12,118,149.906637611548
"1557",86,86,86,86,NA
"1559",187,187,187,187,NA
"1561",508,508,508,508,NA
"1562",13,20,8,12,6
"1563",14.6666666666667,18,10,16,3.9327683210007
"1564",22,22,22,22,NA
"1566",24.4,68,8,10,25.4322629744189
"1567",11,18,8,10,3.43187671366233
"1568",80,80,80,80,NA
"1569",108.8,380,16,20,156.758412852389
"1570",118.5,208,29,118.5,126.572113832392
"1571",85,136,34,85,72.1248916810278
"1572",146,210,82,146,90.5096679918781
"1573",242.333333333333,507,40,180,239.658785220432
"1574",211.25,396,8,220.5,212.231595197322
"1576",754,1318,190,754,797.616449178426
"1578",44,44,44,44,NA
"1580",12,12,12,12,NA
"1581",60.9090909090909,268,6,42,79.4788708342721
"1582",106,106,106,106,NA
"1583",34,34,34,34,NA
"1584",26,26,26,26,NA
"1585",183.5,702,6,13,345.69109524738
"1586",410,536,284,410,178.19090885901
"1587",191.6,494,10,78,223.2191748036
"1588",294.75,1120,12,28.5,429.939779836333
"1589",23.6666666666667,54,8,16,14.2787377922972
"1590",24.625,75,6,19,21.9671020261793
"1591",542,542,542,542,NA
"1592",197,197,197,197,NA
"1593",219.666666666667,347,21,291,174.313893116221
"1595",96.8,420,10,14,180.773891920266
"1596",309.8,966,14,28,427.240213463106
"1597",50,158,8,26,51.6430053347014
"1598",6,6,6,6,NA
"1599",288,862,38,126,390.411748457104
"1600",367.285714285714,1248,6,158,460.578156337486
"1601",64.25,547,2,16,146.706820919642
"1602",68,623,9,16,153.28216156041
"1603",237.157894736842,877,8,22,315.946771740272
"1604",125.875,1278,6,18,307.708919022757
"1605",132.413793103448,1175,8,18,307.63690532386
"1606",130.185185185185,952,10,22,265.725717037619
"1607",105.184210526316,774,6,16,189.200287878068
"1608",132.365384615385,1202,0,18,288.254927264056
"1609",100.428571428571,1110,0,18,235.453282245758
"1610",111.156626506024,1774,6,18,303.599643381957
"1611",122.64406779661,1396,1,16,275.810077252812
"1612",147.26,1348,4,27,268.946228598861
"1613",102.125,1009,0,15,257.936319973148
"1614",184.863636363636,1360,6,24,364.010132168533
"1615",133.033898305085,1168,4,20,279.218488550336
"1616",98.5625,1358,6,16,251.329721592366
"1617",89.8198198198198,946,8,16,185.991896118582
"1618",204.80487804878,988,0,34,297.021398177993
"1619",143.285714285714,1042,8,18,291.703142770701
"1620",66.3727272727273,1202,2,18,166.358398286853
"1621",100.211764705882,1192,7,18,256.136965504863
"1622",89.525,1124,8,22,185.703109658155
"1623",92.3636363636364,1268,6,18,225.200535343238
"1624",126,1112,0,18,231.733923090926
"1625",136.793650793651,1117,8,26,271.932638642435
"1626",60.9384615384615,938,8,18,156.28406624463
"1627",78.5174825174825,1314,0,18,224.561351858567
"1628",130.848101265823,936,6,24,220.604419639085
"1629",138.481012658228,1298,0,26,269.318887374052
"1630",103.282051282051,834,8,22,177.455016976932
"1631",214.771929824561,1048,10,54,305.810458194046
"1632",125.375,1030,8,27,230.646820888378
"1633",85.2363636363636,1138,8,24,183.07345130797
"1634",58.5322580645161,856,2,18,144.661726835815
"1635",78.2183098591549,1122,0,18,190.06583839497
"1636",62.35,1020,0,16,154.077198486749
"1637",162.576271186441,1364,8,20,312.020346561911
"1638",208.140350877193,1236,3,50,338.201674754898
"1639",121.635294117647,1112,0,26,194.168486424672
"1640",130.2,993,0,29,223.388892072657
"1641",188.367346938776,1189,0,90,247.090038740735
"1642",240.36,844,4,121.5,261.749121200014
"1643",224.481481481481,1229,0,42,327.871472955147
"1644",251.28,1264,0,66,340.755645288407
"1645",261.375,1102,0,102.5,313.925443522676
"1646",313.485714285714,1543,0,209,346.473356197301
"1647",329.571428571429,936,12,173,309.21143944834
"1648",223.170731707317,940,0,81,267.839495074851
"1649",32.8778135048232,822,4,10,98.3830787462504
"1650",137.535714285714,1028,0,18,249.903520970513
"1651",158.1625,1013,6,18,239.851612553061
