"date","principales_sources","n"
"1631","Bibliothèque nationale de France",1
"1632","Bibliothèque nationale de France",2
"1633","Bibliothèque nationale de France",2
"1634","Bibliothèque nationale de France",2
"1635","Bibliothèque nationale de France",1
"1636","Bibliothèque nationale de France",1
"1640","Bibliothèque nationale de France",1
"1641","Bibliothèque nationale de France",1
"1642","Bibliothèque nationale de France",3
"1643","Bibliothèque nationale de France",1
"1644","Bibliothèque nationale de France",156
"1645","Bibliothèque nationale de France",1
"1646","Bibliothèque nationale de France",3
"1647","Bibliothèque nationale de France",75
"1648","Bibliothèque nationale de France",2
"1649","Bibliothèque nationale de France",25
"1650","Bibliothèque nationale de France",3
"1651","Bibliothèque nationale de France",3
"1652","Bibliothèque nationale de France",5
"1653","Bibliothèque nationale de France",2
"1654","Bibliothèque nationale de France",91
"1655","Bibliothèque nationale de France",2
"1656","Bibliothèque nationale de France",89
"1657","Bibliothèque nationale de France",2
"1658","Bibliothèque nationale de France",2
"1659","Bibliothèque nationale de France",2
"1660","Bibliothèque nationale de France",1
"1661","Bibliothèque nationale de France",2
"1662","Bibliothèque nationale de France",75
"1663","Bibliothèque nationale de France",2
"1664","Bibliothèque nationale de France",2
"1665","Bibliothèque nationale de France",2
"1666","Bibliothèque nationale de France",4
"1667","Bibliothèque nationale de France",91
"1668","Bibliothèque nationale de France",6
"1669","Bibliothèque nationale de France",82
"1670","Bibliothèque nationale de France",2
"1671","Bibliothèque nationale de France",3
"1672","Bibliothèque nationale de France",85
"1673","Bibliothèque nationale de France",1
"1674","Bibliothèque nationale de France",63
"1675","Bibliothèque nationale de France",127
"1676","Bibliothèque nationale de France",116
"1677","Bibliothèque nationale de France",2
"1678","Bibliothèque nationale de France",10
"1679","Autre",1
"1679","Bibliothèque nationale de France",17
"1680","Autre",1
"1680","Bibliothèque nationale de France",16
"1681","Autre",1
"1681","Bibliothèque nationale de France",14
"1682","Autre",1
"1682","Bibliothèque nationale de France",12
"1683","Autre",1
"1683","Bibliothèque nationale de France",13
"1684","Autre",1
"1684","Bibliothèque nationale de France",12
"1685","Autre",1
"1685","Bibliothèque nationale de France",13
"1686","Autre",1
"1686","Bibliothèque nationale de France",15
"1687","Autre",1
"1687","Bibliothèque nationale de France",14
"1688","Autre",1
"1688","Bibliothèque nationale de France",15
"1689","Autre",1
"1689","Bibliothèque nationale de France",74
"1690","Autre",2
"1690","Bibliothèque nationale de France",12
"1691","Autre",1
"1691","Bibliothèque nationale de France",14
"1692","Autre",1
"1692","Bibliothèque nationale de France",14
"1693","Autre",1
"1693","Bibliothèque nationale de France",13
"1694","Autre",1
"1694","Bibliothèque nationale de France",13
"1695","Autre",1
"1695","Bibliothèque nationale de France",66
"1696","Autre",3
"1696","Bibliothèque nationale de France",15
"1697","Autre",2
"1697","Bibliothèque nationale de France",206
"1698","Autre",3
"1698","Bibliothèque nationale de France",121
"1699","Autre",3
"1699","Bibliothèque nationale de France",24
"1700","Autre",2
"1700","Bibliothèque nationale de France",26
"1701","Autre",1
"1701","Bibliothèque nationale de France",26
"1702","Autre",2
"1702","Bibliothèque nationale de France",28
"1703","Autre",2
"1703","Bibliothèque nationale de France",25
"1704","Autre",2
"1704","Bibliothèque nationale de France",29
"1705","Autre",2
"1705","Bibliothèque nationale de France",26
"1706","Autre",2
"1706","Bibliothèque nationale de France",26
"1707","Autre",2
"1707","Bibliothèque nationale de France",18
"1708","Autre",2
"1708","Bibliothèque nationale de France",20
"1709","Autre",2
"1709","Bibliothèque nationale de France",119
"1710","Autre",2
"1710","Bibliothèque nationale de France",48
"1711","Autre",2
"1711","Bibliothèque nationale de France",119
"1712","Autre",2
"1712","Bibliothèque nationale de France",146
"1713","Autre",2
"1713","Bibliothèque nationale de France",56
"1714","Autre",3
"1714","Bibliothèque nationale de France",110
