"date","principales_villes","n"
"1631","Autre",1
"1631","Paris",1
"1632","Paris",4
"1633","Autre",1
"1633","Paris",3
"1634","Paris",4
"1635","Paris",2
"1636","Paris",2
"1640","Paris",2
"1641","Paris",2
"1642","Autre",1
"1642","Paris",4
"1643","Paris",2
"1644","Paris",233
"1645","Paris",2
"1646","Autre",1
"1646","Paris",5
"1647","Paris",123
"1648","Paris",4
"1649","Autre",2
"1649","Paris",26
"1650","Paris",5
"1651","Paris",4
"1652","Autre",1
"1652","Paris",6
"1653","Paris",2
"1654","Paris",124
"1655","Paris",2
"1656","Autre",5
"1656","Paris",112
"1657","Paris",3
"1658","Paris",4
"1659","Paris",4
"1660","Paris",1
"1661","Paris",2
"1662","Paris",108
"1663","Paris",3
"1664","Paris",4
"1665","Paris",4
"1666","Dijon",1
"1666","Paris",7
"1667","Paris",148
"1668","Paris",10
"1669","Paris",129
"1670","Autre",1
"1670","Paris",3
"1671","Autre",1
"1671","Paris",4
"1672","Paris",143
"1673","Paris",2
"1674","Paris",101
"1675","Paris",202
"1676","Paris",178
"1677","Paris",3
"1678","Paris",9
"1679","Paris",20
"1680","Paris",19
"1681","Paris",17
"1682","Paris",15
"1683","Paris",16
"1684","Paris",15
"1685","Paris",15
"1686","Paris",19
"1687","Paris",17
"1688","Paris",18
"1689","Dijon",1
"1689","Paris",85
"1690","Autre",1
"1690","Paris",16
"1691","Paris",18
"1692","Autre",1
"1692","Paris",18
"1693","Paris",16
"1694","Paris",16
"1695","Paris",69
"1696","Autre",2
"1696","Paris",22
"1697","Autre",181
"1697","Paris",119
"1698","Autre",208
"1698","Paris",27
"1699","Autre",5
"1699","Paris",24
"1700","Autre",3
"1700","Dijon",1
"1700","Paris",33
"1701","Dijon",1
"1701","Paris",28
"1702","Autre",7
"1702","Dijon",1
"1702","Paris",31
"1703","Autre",4
"1703","Dijon",1
"1703","Paris",24
"1704","Autre",4
"1704","Dijon",1
"1704","Paris",34
"1705","Autre",4
"1705","Paris",30
"1706","Autre",4
"1706","Paris",30
"1707","Autre",4
"1707","Dijon",1
"1707","Paris",16
"1708","Autre",7
"1708","Paris",24
"1709","Autre",209
"1709","Paris",15
"1710","Autre",68
"1710","Dijon",3
"1710","Paris",20
"1711","Autre",214
"1711","Dijon",1
"1711","Paris",18
"1712","Autre",170
"1712","Dijon",1
"1712","Paris",68
"1713","Autre",88
"1713","Dijon",1
"1713","Paris",18
"1714","Autre",99
"1714","Dijon",1
"1714","Paris",71
"1715","Autre",204
"1715","Dijon",1
"1715","Paris",25
"1716","Autre",212
"1716","Dijon",1
"1716","Paris",25
"1717","Autre",225
"1717","Dijon",1
"1717","Paris",33
"1718","Autre",215
"1718","Dijon",1
"1718","Paris",30
"1719","Autre",216
"1719","Paris",31
"1720","Autre",215
"1720","Dijon",1
"1720","Paris",36
"1721","Autre",222
"1721","Dijon",1
"1721","Paris",82
"1721","Troyes",4
"1722","Autre",217
"1722","Paris",83
"1723","Autre",223
"1723","Bordeaux",1
"1723","Paris",31
"1724","Autre",223
"1724","Bordeaux",1
"1724","Dijon",1
"1724","Paris",40
"1724","Troyes",3
"1725","Autre",23
"1725","Paris",30
"1725","Troyes",3
"1726","Autre",19
"1726","Paris",40
"1727","Autre",9
"1727","Dijon",1
"1727","Paris",31
"1727","Troyes",1
"1728","Autre",17
"1728","Paris",39
"1729","Autre",9
"1729","Paris",30
"1729","Troyes",2
"1730","Autre",9
"1730","Paris",30
"1730","Troyes",1
"1731","Autre",16
"1731","Bourges",1
"1731","Paris",34
"1732","Autre",12
"1732","Bordeaux",1
"1732","Paris",32
"1732","Troyes",1
"1733","Autre",8
"1733","Paris",40
"1734","Autre",14
"1734","Paris",36
"1735","Autre",16
"1735","Paris",177
"1735","Troyes",2
"1736","Autre",28
"1736","Bordeaux",3
"1736","Dijon",1
"1736","Paris",100
"1737","Autre",23
"1737","Bordeaux",10
"1737","Dijon",1
"1737","Paris",202
"1737","Troyes",1
"1738","Autre",20
"1738","Bordeaux",12
"1738","Dijon",1
"1738","Paris",174
"1739","Autre",19
"1739","Bordeaux",7
"1739","Dijon",1
"1739","Paris",184
"1740","Autre",14
"1740","Paris",120
"1741","Autre",35
"1741","Bordeaux",9
"1741","Dijon",2
"1741","Paris",179
"1741","Rennes",1
"1742","Autre",17
"1742","Dijon",2
"1742","Paris",145
"1742","Troyes",2
"1743","Autre",28
"1743","Bordeaux",5
"1743","Dijon",2
"1743","Paris",91
"1743","Troyes",1
"1744","Autre",12
"1744","Bordeaux",2
"1744","Dijon",2
"1744","Paris",83
"1745","Autre",9
"1745","Paris",32
"1746","Autre",15
"1746","Dijon",2
"1746","Paris",129
"1747","Autre",13
"1747","Bordeaux",6
"1747","Dijon",1
"1747","Paris",183
"1748","Autre",17
"1748","Dijon",1
"1748","Paris",131
"1749","Autre",17
"1749","Dijon",1
"1749","Paris",176
"1750","Autre",3
"1750","Bordeaux",7
"1750","Dijon",1
"1750","Paris",131
"1751","Autre",2
"1751","Bordeaux",3
"1751","Dijon",1
"1751","Paris",33
"1752","Autre",108
"1752","Bordeaux",2
"1752","Dijon",1
"1752","Paris",125
"1753","Autre",15
"1753","Dijon",1
"1753","Paris",147
"1754","Autre",15
"1754","Bordeaux",5
"1754","Dijon",1
"1754","Paris",110
"1755","Autre",45
"1755","Paris",54
"1756","Autre",21
"1756","Bordeaux",5
"1756","Dijon",1
"1756","Paris",62
"1757","Alger",1
"1757","Autre",33
"1757","Dijon",1
"1757","Paris",103
"1758","Autre",26
"1758","Bordeaux",5
"1758","Dijon",1
"1758","Paris",47
"1759","Alger",3
"1759","Autre",28
"1759","Dijon",1
"1759","Paris",42
"1759","Rennes",1
"1760","Alger",2
"1760","Autre",224
"1760","Dijon",1
"1760","Paris",216
"1761","Alger",3
"1761","Autre",128
"1761","Dijon",4
"1761","Paris",148
"1762","Autre",15
"1762","Bordeaux",6
"1762","Dijon",1
"1762","Paris",204
"1763","Autre",18
"1763","Paris",418
"1764","Autre",14
"1764","Dijon",2
"1764","Paris",338
"1765","Autre",13
"1765","Dijon",1
"1765","Paris",394
"1766","Alger",1
"1766","Autre",31
"1766","Dijon",1
"1766","Paris",343
"1767","Autre",17
"1767","Dijon",1
"1767","Marseille",2
"1767","Paris",343
"1768","Alger",1
"1768","Autre",10
"1768","Dijon",2
"1768","Paris",350
"1769","Autre",7
"1769","Dijon",2
"1769","Marseille",1
"1769","Paris",357
"1770","Autre",12
"1770","Dijon",3
"1770","Paris",412
"1771","Autre",61
"1771","Dijon",1
"1771","Marseille",1
"1771","Paris",368
