"date","principales_villes","n"
"1380","N/A",1
"1519","Autre",1
"1519","Paris",1
"1537","N/A",1
"1538","Paris",1
"1542","N/A",1
"1544","Paris",1
"1545","Paris",1
"1546","Autre",1
"1547","Rouen",1
"1549","Paris",1
"1550","Paris",3
"1550","Rouen",2
"1551","N/A",4
"1552","N/A",4
"1552","Paris",2
"1554","N/A",1
"1556","N/A",1
"1556","Rouen",1
"1557","Paris",1
"1559","Paris",1
"1561","N/A",1
"1562","N/A",3
"1562","Paris",1
"1563","Autre",4
"1563","Paris",2
"1564","N/A",1
"1566","N/A",3
"1566","Paris",1
"1566","Rouen",1
"1567","N/A",9
"1567","Paris",1
"1568","Paris",1
"1569","Autre",1
"1569","Paris",4
"1570","Lyon",1
"1570","N/A",1
"1571","N/A",2
"1572","Paris",2
"1573","Autre",1
"1573","Paris",2
"1574","Autre",1
"1574","N/A",2
"1574","Paris",1
"1576","Lyon",1
"1576","N/A",1
"1578","N/A",1
"1580","N/A",1
"1581","Autre",1
"1581","N/A",7
"1581","Paris",1
"1581","Rouen",2
"1582","Paris",1
"1583","N/A",1
"1584","Rouen",1
"1585","Autre",1
"1585","N/A",2
"1585","Paris",1
"1586","Autre",1
"1586","Paris",1
"1587","Bruxelles",1
"1587","N/A",3
"1587","Paris",1
"1588","N/A",5
"1588","Paris",2
"1588","Rouen",1
"1589","N/A",18
"1590","N/A",8
"1591","Tours",1
"1592","N/A",1
"1593","N/A",1
"1593","Paris",1
"1593","Rouen",1
"1595","N/A",3
"1595","Paris",1
"1595","Rouen",1
"1596","N/A",2
"1596","Paris",3
"1597","N/A",8
"1597","Paris",3
"1598","N/A",1
"1599","Autre",2
"1599","N/A",2
"1600","Autre",1
"1600","N/A",3
"1600","Paris",3
"1601","Autre",2
"1601","Lyon",1
"1601","N/A",6
"1601","Paris",14
"1601","Rouen",1
"1602","Autre",3
"1602","Lyon",3
"1602","N/A",2
"1602","Paris",30
"1602","Rouen",1
"1603","Autre",1
"1603","N/A",3
"1603","Paris",13
"1603","Rouen",2
"1604","Autre",1
"1604","Lyon",4
"1604","N/A",9
"1604","Paris",21
"1604","Rouen",5
"1605","Lyon",1
"1605","N/A",6
"1605","Paris",20
"1605","Rouen",1
"1605","Tours",1
"1606","Autre",5
"1606","N/A",3
"1606","Paris",17
"1606","Rouen",2
"1607","Autre",3
"1607","Lyon",2
"1607","N/A",14
"1607","Paris",18
"1607","Rouen",1
"1608","Autre",8
"1608","Lyon",6
"1608","N/A",14
"1608","Paris",22
"1608","Rouen",2
"1609","Autre",6
"1609","Lyon",8
"1609","Montpellier",1
"1609","N/A",19
"1609","Paris",40
"1609","Rouen",3
"1610","Autre",12
"1610","Lyon",7
"1610","N/A",19
"1610","Paris",43
"1610","Rouen",2
"1611","Autre",6
"1611","Lyon",3
"1611","N/A",26
"1611","Paris",21
"1611","Rouen",3
"1612","Autre",8
"1612","Lyon",6
"1612","N/A",11
"1612","Paris",21
"1612","Rouen",3
"1612","Tours",1
"1613","Autre",3
"1613","Lyon",1
"1613","N/A",9
"1613","Paris",18
"1613","Rouen",1
"1614","Autre",3
"1614","Lyon",1
"1614","N/A",13
"1614","Paris",26
"1614","Rouen",1
"1615","Autre",7
"1615","Bordeaux",1
"1615","Lyon",3
"1615","N/A",24
"1615","Paris",24
"1616","Autre",7
"1616","Lyon",5
"1616","N/A",30
"1616","Paris",30
"1616","Rouen",5
"1616","Toulouse",1
"1616","Tours",2
"1617","Autre",12
"1617","Lyon",13
"1617","N/A",22
"1617","Paris",53
"1617","Rouen",10
"1617","Toulouse",1
"1618","Autre",5
"1618","Lyon",2
"1618","N/A",9
"1618","Paris",18
"1618","Rouen",7
"1619","Autre",4
"1619","Lyon",3
"1619","N/A",14
"1619","Paris",37
"1619","Rouen",5
"1620","Autre",12
"1620","Lyon",7
"1620","N/A",32
"1620","Paris",48
"1620","Rouen",10
"1620","Tours",1
"1621","Autre",4
"1621","Lyon",1
"1621","N/A",21
"1621","Paris",48
"1621","Rouen",10
"1621","Tours",1
"1622","Autre",6
"1622","Lyon",1
"1622","N/A",32
"1622","Paris",40
"1622","Rouen",1
"1623","Autre",3
"1623","Lyon",1
"1623","N/A",24
"1623","Paris",35
"1623","Rouen",3
"1624","Autre",2
"1624","Bordeaux",1
"1624","Lyon",1
"1624","N/A",28
"1624","Paris",40
"1624","Rouen",1
"1625","Autre",6
"1625","Lyon",5
"1625","N/A",19
"1625","Paris",30
"1625","Rouen",3
"1626","Autre",9
"1626","Lyon",4
"1626","N/A",31
"1626","Paris",82
"1626","Rouen",4
"1627","Autre",3
"1627","Lyon",1
"1627","N/A",21
"1627","Paris",112
"1627","Rouen",6
"1628","Autre",14
"1628","Lyon",3
"1628","N/A",16
"1628","Paris",41
"1628","Rouen",5
"1629","Autre",9
"1629","Lyon",1
"1629","N/A",10
"1629","Paris",55
"1629","Rouen",4
"1630","Autre",12
"1630","Lyon",2
"1630","N/A",12
"1630","Paris",52
"1631","Autre",6
"1631","Lyon",2
"1631","N/A",14
