n,annee,mois,jour
1991,1777,1,1
1682,1777,1,2
1589,1777,1,3
1750,1777,1,4
2404,1777,1,5
2326,1777,1,6
1963,1777,1,7
2217,1777,1,8
2079,1777,1,9
1842,1777,1,10
2011,1777,1,11
2111,1777,1,12
1802,1777,1,13
2215,1777,1,14
2161,1777,1,15
2174,1777,1,16
2410,1777,1,17
2182,1777,1,18
2064,1777,1,19
2255,1777,1,20
2091,1777,1,21
2594,1777,1,22
266,1777,1,25
1555,1777,1,29
1646,1777,1,30
1821,1777,1,31
1644,1777,2,1
1845,1777,2,2
2101,1777,2,3
2105,1777,2,4
2083,1777,2,5
1952,1777,2,6
1955,1777,2,7
2127,1777,2,8
2143,1777,2,9
2518,1777,2,10
1821,1777,2,11
2278,1777,2,12
2248,1777,2,13
2210,1777,2,14
2272,1777,2,15
1862,1777,2,16
2348,1777,2,17
2225,1777,2,18
2385,1777,2,19
2007,1777,2,20
2011,1777,2,21
2256,1777,2,22
2089,1777,2,23
2530,1777,2,24
2747,1777,2,25
2060,1777,2,26
2017,1777,2,27
2069,1777,2,28
2289,1777,3,1
2195,1777,3,2
2573,1777,3,3
2199,1777,3,4
2198,1777,3,5
1981,1777,3,6
2453,1777,3,7
2193,1777,3,8
2122,1777,3,9
2510,1777,3,10
2270,1777,3,11
2246,1777,3,12
2368,1777,3,13
2161,1777,3,14
2241,1777,3,15
1947,1777,3,16
2809,1777,3,17
2464,1777,3,18
2207,1777,3,19
1979,1777,3,20
2313,1777,3,21
2079,1777,3,22
2250,1777,3,23
2497,1777,3,24
2193,1777,3,25
2143,1777,3,26
2340,1777,3,27
2302,1777,3,28
2841,1777,3,29
2229,1777,3,30
2684,1777,3,31
2427,1777,4,1
2565,1777,4,2
2350,1777,4,3
2400,1777,4,4
2386,1777,4,5
2272,1777,4,6
2632,1777,4,7
2249,1777,4,8
2449,1777,4,9
3320,1777,4,10
3384,1777,4,11
5224,1777,4,12
2068,1777,4,13
2741,1777,4,14
2094,1777,4,15
2397,1777,4,16
2440,1777,4,17
2481,1777,4,18
2560,1777,4,19
2221,1777,4,20
2539,1777,4,21
2523,1777,4,22
2313,1777,4,23
2220,1777,4,24
2254,1777,4,25
2421,1777,4,26
2338,1777,4,27
2447,1777,4,28
2453,1777,4,29
2544,1777,4,30
2433,1777,5,1
2726,1777,5,2
2346,1777,5,3
2409,1777,5,4
2458,1777,5,5
2445,1777,5,6
2893,1777,5,7
2414,1777,5,8
2484,1777,5,9
2308,1777,5,10
2401,1777,5,11
2483,1777,5,12
2442,1777,5,13
2421,1777,5,14
2145,1777,5,15
2291,1777,5,16
2299,1777,5,17
2196,1777,5,18
2785,1777,5,19
2477,1777,5,20
2514,1777,5,21
2539,1777,5,22
2471,1777,5,23
2400,1777,5,24
2500,1777,5,25
2431,1777,5,26
2165,1777,5,27
2478,1777,5,28
1900,1777,5,29
2521,1777,5,30
2312,1777,5,31
2570,1777,6,1
2551,1777,6,2
2392,1777,6,3
2289,1777,6,4
2446,1777,6,5
2493,1777,6,6
2406,1777,6,7
2341,1777,6,8
2491,1777,6,9
2831,1777,6,10
2405,1777,6,11
2492,1777,6,12
2449,1777,6,13
2467,1777,6,14
2416,1777,6,15
3930,1777,6,16
2493,1777,6,18
2497,1777,6,19
2523,1777,6,20
2666,1777,6,21
2525,1777,6,22
2709,1777,6,23
2426,1777,6,24
2311,1777,6,25
2302,1777,6,26
2340,1777,6,27
2440,1777,6,28
2276,1777,6,29
2496,1777,6,30
2262,1777,7,1
2623,1777,7,2
1861,1777,7,3
1455,1777,7,4
3012,1777,7,5
1959,1777,7,6
2187,1777,7,7
2626,1777,7,8
1660,1777,7,9
1906,1777,7,10
4805,1777,7,11
1713,1777,7,12
2253,1777,7,13
2200,1777,7,14
2424,1777,7,15
2223,1777,7,16
1740,1777,7,17
2420,1777,7,18
2115,1777,7,19
2548,1777,7,20
2763,1777,7,21
2356,1777,7,22
2546,1777,7,23
2613,1777,7,24
2742,1777,7,25
2646,1777,7,26
2570,1777,7,27
2602,1777,7,28
1919,1777,7,29
