"date","is_quotidien","n"
"1631","Autre périodicité",2
"1632","Autre périodicité",4
"1633","Autre périodicité",4
"1634","Autre périodicité",4
"1635","Autre périodicité",2
"1636","Autre périodicité",2
"1640","Autre périodicité",2
"1641","Autre périodicité",2
"1642","Autre périodicité",5
"1643","Autre périodicité",2
"1644","Autre périodicité",233
"1645","Autre périodicité",2
"1646","Autre périodicité",6
"1647","Autre périodicité",123
"1648","Autre périodicité",4
"1649","Autre périodicité",39
"1650","Autre périodicité",6
"1651","Autre périodicité",4
"1652","Autre périodicité",10
"1653","Autre périodicité",4
"1654","Autre périodicité",154
"1655","Autre périodicité",4
"1656","Autre périodicité",142
"1657","Autre périodicité",3
"1658","Autre périodicité",4
"1659","Autre périodicité",4
"1660","Autre périodicité",2
"1661","Autre périodicité",3
"1662","Autre périodicité",111
"1663","Autre périodicité",3
"1664","Autre périodicité",4
"1665","Autre périodicité",4
"1666","Autre périodicité",8
"1667","Autre périodicité",148
"1668","Autre périodicité",10
"1669","Autre périodicité",129
"1670","Autre périodicité",4
"1671","Autre périodicité",5
"1672","Autre périodicité",143
"1673","Autre périodicité",2
"1674","Autre périodicité",101
"1675","Autre périodicité",202
"1676","Autre périodicité",180
"1677","Autre périodicité",4
"1678","Autre périodicité",9
"1679","Autre périodicité",20
"1680","Autre périodicité",19
"1681","Autre périodicité",17
"1682","Autre périodicité",15
"1683","Autre périodicité",16
"1684","Autre périodicité",15
"1685","Autre périodicité",15
"1686","Autre périodicité",19
"1687","Autre périodicité",18
"1688","Autre périodicité",18
"1689","Autre périodicité",86
"1690","Autre périodicité",17
"1691","Autre périodicité",18
"1692","Autre périodicité",20
"1693","Autre périodicité",16
"1694","Autre périodicité",16
"1695","Autre périodicité",69
"1696","Autre périodicité",24
"1697","Autre périodicité",124
"1697","Quotidien",88
"1698","Autre périodicité",29
"1698","Quotidien",103
"1699","Autre périodicité",27
"1700","Autre périodicité",35
"1701","Autre périodicité",31
"1702","Autre périodicité",36
"1703","Autre périodicité",32
"1704","Autre périodicité",37
"1705","Autre périodicité",32
"1706","Autre périodicité",32
"1707","Autre périodicité",25
"1708","Autre périodicité",29
"1709","Autre périodicité",23
"1709","Quotidien",102
"1710","Autre périodicité",25
"1710","Quotidien",32
"1711","Autre périodicité",20
"1711","Quotidien",106
"1712","Autre périodicité",59
"1712","Quotidien",95
"1713","Autre périodicité",5
"1713","Quotidien",58
"1714","Autre périodicité",61
"1714","Quotidien",61
"1715","Autre périodicité",12
"1715","Quotidien",116
"1716","Autre périodicité",12
"1716","Quotidien",120
"1717","Autre périodicité",54
"1717","Quotidien",101
"1718","Autre périodicité",51
"1718","Quotidien",102
"1719","Autre périodicité",47
"1719","Quotidien",103
"1720","Autre périodicité",49
"1720","Quotidien",103
"1721","Autre périodicité",104
"1721","Quotidien",101
"1722","Autre périodicité",92
"1722","Quotidien",103
"1723","Autre périodicité",46
"1723","Quotidien",109
"1724","Autre périodicité",56
"1724","Quotidien",99
"1725","Autre périodicité",69
"1726","Autre périodicité",49
"1727","Autre périodicité",41
"1727","Quotidien",1
"1728","Autre périodicité",47
"1728","Quotidien",2
"1729","Autre périodicité",39
"1730","Autre périodicité",37
"1731","Autre périodicité",41
"1731","Quotidien",1
"1732","Autre périodicité",41
"1733","Autre périodicité",47
"1734","Autre périodicité",82
"1735","Autre périodicité",191
"1735","Quotidien",45
"1736","Autre périodicité",135
"1736","Quotidien",30
"1737","Autre périodicité",180
"1737","Quotidien",90
"1738","Autre périodicité",173
"1738","Quotidien",77
"1739","Autre périodicité",181
"1739","Quotidien",75
