n,annee,mois,jour
8394,1876,10,15
9214,1876,10,16
9069,1876,10,17
9928,1876,10,18
9547,1876,10,19
9257,1876,10,20
9669,1876,10,21
9871,1876,10,22
9050,1876,10,23
10689,1876,10,24
7630,1876,10,25
10329,1876,10,26
9476,1876,10,27
10030,1876,10,28
9382,1876,10,29
9682,1876,10,30
9214,1876,11,1
8635,1876,11,2
9265,1876,11,3
8943,1876,11,4
9496,1876,11,5
8934,1876,11,6
8378,1876,11,7
9617,1876,11,8
9276,1876,11,9
8437,1876,11,10
7915,1876,11,11
8401,1876,11,12
9107,1876,11,13
9466,1876,11,14
8636,1876,11,15
8020,1876,11,16
7742,1876,11,17
7734,1876,11,18
7482,1876,11,19
8049,1876,11,20
9541,1876,11,21
7600,1876,11,22
8075,1876,11,23
8399,1876,11,24
8597,1876,11,25
11604,1876,11,26
13270,1876,11,27
13459,1876,11,28
13315,1876,11,29
13320,1876,11,30
13258,1876,12,1
14283,1876,12,2
13151,1876,12,3
13589,1876,12,4
13691,1876,12,5
12800,1876,12,6
12777,1876,12,7
12972,1876,12,8
13417,1876,12,9
13435,1876,12,10
13153,1876,12,11
13522,1876,12,12
12796,1876,12,13
11531,1876,12,14
12710,1876,12,15
12373,1876,12,16
12535,1876,12,17
12322,1876,12,18
13685,1876,12,19
13555,1876,12,20
13856,1876,12,21
13349,1876,12,22
13493,1876,12,23
12725,1876,12,24
12904,1876,12,25
14178,1876,12,26
11934,1876,12,28
12027,1876,12,29
11938,1876,12,30
11674,1876,12,31
10554,1877,1,1
13855,1877,1,2
14534,1877,1,3
13801,1877,1,4
13570,1877,1,5
13754,1877,1,6
13310,1877,1,7
13023,1877,1,8
13854,1877,1,9
12895,1877,1,10
12182,1877,1,11
12545,1877,1,12
12750,1877,1,13
12696,1877,1,14
13382,1877,1,15
13240,1877,1,16
12970,1877,1,17
13119,1877,1,18
12284,1877,1,19
13494,1877,1,20
12855,1877,1,21
13328,1877,1,22
14003,1877,1,23
13421,1877,1,24
13589,1877,1,25
13083,1877,1,26
12803,1877,1,27
11983,1877,1,28
13334,1877,1,29
14248,1877,1,30
12617,1877,1,31
12985,1877,2,1
13190,1877,2,2
12601,1877,2,3
12651,1877,2,4
11981,1877,2,5
14184,1877,2,6
12899,1877,2,7
12428,1877,2,8
12583,1877,2,9
12551,1877,2,10
12828,1877,2,11
13014,1877,2,12
13445,1877,2,13
12572,1877,2,14
12197,1877,2,15
12171,1877,2,16
12660,1877,2,17
12554,1877,2,18
12460,1877,2,19
14001,1877,2,20
12136,1877,2,21
13087,1877,2,22
14499,1877,2,23
14034,1877,2,24
14050,1877,2,25
13805,1877,2,26
13098,1877,2,27
13341,1877,2,28
13961,1877,3,1
13355,1877,3,2
13443,1877,3,3
13449,1877,3,4
12642,1877,3,5
14361,1877,3,6
13981,1877,3,7
13219,1877,3,8
13113,1877,3,9
14095,1877,3,10
14914,1877,3,11
13817,1877,3,12
14580,1877,3,13
13495,1877,3,14
13498,1877,3,15
14379,1877,3,16
15098,1877,3,17
14000,1877,3,18
12941,1877,3,19
13467,1877,3,20
13582,1877,3,21
13447,1877,3,22
13669,1877,3,23
14451,1877,3,24
13853,1877,3,25
14131,1877,3,26
14351,1877,3,27
13857,1877,3,28
14259,1877,3,29
13271,1877,3,30
13371,1877,3,31
13931,1877,4,1
13739,1877,4,2
13719,1877,4,3
13503,1877,4,4
13356,1877,4,5
12757,1877,4,6
13510,1877,4,7
13621,1877,4,8
12800,1877,4,9
13910,1877,4,10
13525,1877,4,11
12739,1877,4,12
13961,1877,4,13
13305,1877,4,14
13201,1877,4,15
12900,1877,4,16
12952,1877,4,17
13337,1877,4,18
14339,1877,4,19
13749,1877,4,20
12299,1877,4,21
12946,1877,4,22
13953,1877,4,23
13433,1877,4,24
13239,1877,4,25
14093,1877,4,26
14202,1877,4,27
13773,1877,4,28
12673,1877,4,29
12926,1877,4,30
14107,1877,5,1
13103,1877,5,2
14143,1877,5,3
13263,1877,5,4
13294,1877,5,5
14155,1877,5,6
12107,1877,5,7
14741,1877,5,8
13907,1877,5,9
13004,1877,5,10
13543,1877,5,11
14400,1877,5,12
13483,1877,5,13
13440,1877,5,14
14055,1877,5,15
14571,1877,5,16
13273,1877,5,17
12699,1877,5,18
13399,1877,5,19
10779,1877,5,20
12755,1877,5,21
13744,1877,5,22
13249,1877,5,23
13334,1877,5,24
12724,1877,5,25
13374,1877,5,26
10623,1877,5,27
10118,1877,5,28
14030,1877,5,29
12702,1877,5,30
13408,1877,5,31
12344,1877,6,1
12673,1877,6,2
12187,1877,6,3
12105,1877,6,4
13209,1877,6,5
12140,1877,6,6
13467,1877,6,7
12173,1877,6,8
12955,1877,6,9
11911,1877,6,10
12732,1877,6,11
13402,1877,6,12
12565,1877,6,13
13039,1877,6,14
11164,1877,6,15
13669,1877,6,16
12752,1877,6,17
13958,1877,6,18
13151,1877,6,19
13534,1877,6,20
13351,1877,6,21
13583,1877,6,22
15212,1877,6,23
14715,1877,6,24
12820,1877,6,25
14008,1877,6,26
14312,1877,6,27
13505,1877,6,28
12773,1877,6,29
13472,1877,6,30
11490,1877,7,1
13118,1877,7,2
13943,1877,7,3
14283,1877,7,4
13709,1877,7,5
12389,1877,7,6
13104,1877,7,7
13637,1877,7,8
12812,1877,7,9
14253,1877,7,10
11644,1877,7,11
13547,1877,7,12
12181,1877,7,13
13715,1877,7,14
13341,1877,7,15
12384,1877,7,16
14034,1877,7,17
12927,1877,7,18
13649,1877,7,19
11909,1877,7,20
13864,1877,7,21
12495,1877,7,22
12564,1877,7,23
13963,1877,7,24
16108,1877,7,25
14619,1877,7,26
14514,1877,7,27
14116,1877,7,28
13337,1877,7,29
12805,1877,7,30
14072,1877,7,31
12526,1877,8,1
9952,1877,8,2
12794,1877,8,3
13022,1877,8,4
13206,1877,8,5
14154,1877,8,6
14339,1877,8,7
12213,1877,8,8
13441,1877,8,9
12678,1877,8,10
14168,1877,8,11
13785,1877,8,12
13051,1877,8,13
14023,1877,8,14
13256,1877,8,15
13790,1877,8,16
13350,1877,8,17
13253,1877,8,18
15310,1877,8,19
13455,1877,8,20
14807,1877,8,21
12890,1877,8,22
13329,1877,8,23
13696,1877,8,24
12852,1877,8,25
12721,1877,8,26
12509,1877,8,27
13527,1877,8,28
12755,1877,8,29
12260,1877,8,30
12327,1877,8,31
12628,1877,9,1
12835,1877,9,2
11580,1877,9,3
13548,1877,9,4
12425,1877,9,5
13237,1877,9,6
13664,1877,9,7
13827,1877,9,8
12906,1877,9,9
12535,1877,9,10
14149,1877,9,11
12620,1877,9,12
13610,1877,9,13
13019,1877,9,14
13528,1877,9,15
13159,1877,9,16
13469,1877,9,17
13426,1877,9,18
12704,1877,9,19
12951,1877,9,20
12558,1877,9,21
12484,1877,9,22
12963,1877,9,23
11778,1877,9,24
14412,1877,9,25
14435,1877,9,26
11872,1877,9,27
12165,1877,9,28
12749,1877,9,29
12947,1877,9,30
11691,1877,10,1
13706,1877,10,2
11562,1877,10,3
12606,1877,10,4
11328,1877,10,5
12829,1877,10,6
12171,1877,10,7
11525,1877,10,8
13238,1877,10,9
12495,1877,10,10
12105,1877,10,11
11614,1877,10,12
11487,1877,10,13
11105,1877,10,14
11908,1877,10,15
10829,1877,10,16
6822,1877,10,17
12225,1877,10,18
12295,1877,10,19
12296,1877,10,20
11684,1877,10,21
11718,1877,10,22
12828,1877,10,23
