n,annee
415040,1900
453456,1901
465789,1902
468810,1903
478962,1904
489697,1905
501745,1906
501025,1907
525489,1908
526233,1909
535394,1910
514617,1911
545887,1912
547770,1913
538912,1914
351396,1915
282498,1916
306358,1917
348520,1918
385514,1919
648323,1920
636518,1921
610176,1922
616315,1923
619782,1924
637912,1925
639794,1926
633190,1927
638321,1928
629263,1929
657123,1930
649987,1931
642802,1932
609492,1933
613012,1934
584384,1935
578701,1936
570557,1937
565519,1938
566362,1939
514270,1940
486172,1941
535406,1942
577542,1943
584006,1944
591764,1945
866181,1946
892839,1947
892194,1948
894726,1949
884837,1950
849644,1951
847257,1952
830459,1953
837001,1954
833163,1955
834461,1956
843981,1957
840143,1958
857387,1959
849219,1960
867866,1961
863135,1962
899615,1963
908746,1964
897054,1965
894709,1966
870258,1967
865577,1968
869689,1969
876223,1970
908231,1971
903205,1972
881069,1973
824032,1974
766069,1975
738531,1976
761039,1977
751545,1978
772999,1979
816058,1980
820562,1981
812744,1982
764974,1983
776877,1984
785838,1985
794611,1986
785049,1987
789698,1988
785292,1989
782607,1990
779356,1991
763246,1992
729779,1993
728915,1994
746624,1995
751424,1996
745003,1997
756255,1998
764430,1999
799069,2000
792123,2001
782885,2002
780596,2003
786741,2004
793664,2005
815787,2006
804914,2007
813691,2008
810136,2009
820060,2010
808145,2011
812174,2012
802841,2013
803205,2014
783577,2015
768356,2016
754697,2017
744232,2018
739195,2019
721147,2020
728353,2021
712473,2022
