n,annee
75588,1704
55921,1716
11247,1718
47795,1719
26401,1722
63939,1724
23182,1725
9326,1733
17493,1743
81002,1749
3172,1756
5556,1759
65924,1760
82896,1762
22578,1763
2558,1764
97040,1767
12862,1768
49033,1771
6523,1774
369,1777
1439,1778
10890,1779
6844,1781
39377,1782
3159,1783
5815,1785
6185,1787
72302,1788
89221,1790
5450,1791
24123,1792
16382,1794
8529,1795
13711,1796
20117,1798
829,1799
117,1800
39588,1801
4464,1804
2374,1805
64664,1808
4730,1810
30090,1811
32790,1814
72102,1815
11508,1817
19272,1818
498,1819
56396,1820
24980,1822
33149,1824
15776,1825
36091,1826
47553,1827
1656,1830
5844,1831
17162,1832
15348,1833
15977,1834
123047,1835
51872,1836
6542,1837
97524,1838
109178,1839
59343,1840
81440,1841
35986,1842
179611,1843
77131,1844
28038,1845
443731,1846
128707,1847
104874,1848
40277,1849
22246,1850
56637,1851
31144,1852
56339,1853
94288,1854
55638,1855
33376,1856
223970,1857
4078,1858
111405,1859
15316,1860
158358,1861
8241,1862
98024,1863
71731,1864
13865,1865
130716,1866
89136,1867
96010,1868
107743,1869
157437,1870
53232,1871
147117,1872
39031,1873
159099,1874
379444,1875
141541,1876
275928,1877
61053,1878
67442,1879
175128,1880
171517,1881
102951,1882
101345,1883
324227,1884
87482,1885
183976,1886
196252,1887
83543,1888
209845,1889
57803,1890
221420,1891
66437,1892
197593,1893
230774,1894
118505,1895
67125,1896
80804,1897
86948,1898
241923,1899
459320,1900
78451,1901
190370,1902
159046,1903
228698,1904
284691,1905
195513,1906
391454,1907
532113,1908
165561,1909
340713,1910
187920,1911
216622,1912
235147,1913
306522,1914
150998,1915
109005,1916
109841,1917
193126,1918
211953,1919
782954,1920
564254,1921
794097,1922
248729,1923
410043,1924
599697,1925
519153,1926
845905,1927
468621,1928
610203,1929
555212,1930
599804,1931
790313,1932
532587,1933
1146498,1934
689273,1935
1138688,1936
918482,1937
661373,1938
741809,1939
900112,1940
1286785,1941
1000792,1942
588571,1943
413653,1944
726796,1945
1155504,1946
1248624,1947
811442,1948
1406553,1949
741290,1950
1919648,1951
1003340,1952
2051189,1953
1859363,1954
1475732,1955
1265113,1956
2334208,1957
1468799,1958
1937776,1959
1879600,1960
2282456,1961
2086178,1962
1808251,1963
2728310,1964
2237609,1965
2480372,1966
2891341,1967
2384035,1968
3149197,1969
2431174,1970
3120982,1971
3021570,1972
3276099,1973
2728274,1974
3559974,1975
3772229,1976
4390929,1977
4307958,1978
4418311,1979
4714542,1980
4385516,1981
5357039,1982
5866146,1983
5696958,1984
5416470,1985
6612220,1986
7714404,1987
9222982,1988
8575406,1989
10042866,1990
9998452,1991
10630670,1992
11007823,1993
12638305,1994
12509486,1995
12248354,1996
14290836,1997
15381551,1998
19899054,1999
21272766,2000
21595561,2001
22689232,2002
23477214,2003
28843202,2004
31860639,2005
35375790,2006
41271990,2007
35345825,2008
39833414,2009
48620260,2010
56065916,2011
67304282,2012
64548258,2013
69898343,2014
60816848,2015
40097785,2016
36261508,2017
39788729,2018
40479600,2019
36192857,2020
39273743,2021
26220790,2022
12018466,2023
6360606,2024
65870,2025
