"tot","monogram"
797251250,"de"
451596725,"la"
351514732,"et"
334158301,"le"
310337265,"les"
285568609,"à"
218877971,"des"
186383311,"en"
185423612,"que"
163843929,"du"
146889822,"qui"
141692453,"il"
137521165,"dans"
119855053,"un"
118590079,"par"
109916740,"a"
103522424,"pour"
99384136,"est"
99147318,"une"
92133418,"ne"
90166431,"au"
86953789,"ce"
77814464,"se"
73393607,"plus"
73181236,"pas"
70710340,"sur"
63814618,"on"
62433931,"ou"
55037335,"son"
53201203,"je"
52901841,"nous"
50613620,"l"
49112750,"avec"
47448487,"cette"
46244709,"mais"
43140307,"m"
42899672,"vous"
41435655,"lui"
41403884,"sont"
40836884,"sa"
40118606,"elle"
40109921,"si"
39869169,"aux"
39238303,"même"
39104446,"d"
38459922,"ces"
37943065,"comme"
37799563,"ses"
37674963,"qu'il"
35392153,"i"
35266613,"y"
35243203,"leur"
32818853,"s"
31352478,"tout"
30826571,"t"
29399292,"deux"
28794370,"c"
28587701,"fait"
28272750,"n"
28174388,"bien"
27951908,"être"
27197619,"c'est"
27040229,"d'un"
26796345,"p"
26191485,"sans"
25341594,"dont"
25166510,"été"
24313439,"d'une"
24144291,"peut"
23875968,"ils"
23712463,"faire"
23240873,"tous"
22637972,"où"
21808432,"e"
21769720,"avait"
21457564,"était"
21086637,"ont"
19148557,"me"
18917081,"dit"
18355559,"sous"
18255675,"leurs"
18008242,"j"
17750768,"encore"
17481782,"aussi"
17393977,"point"
16199524,"fut"
16198861,"après"
15679850,"peu"
15197241,"non"
15004099,"v"
15003410,"très"
14811790,"toutes"
14787288,"ainsi"
14585297,"moins"
14434046,"soit"
14202285,"qu'on"
14200254,"temps"
14017952,"autres"
13967515,"in"
13790984,"entre"
13721472,"qu"
13608189,"mon"
13562024,"n'est"
13348325,"f"
12892775,"cet"
12781041,"contre"
12578602,"droit"
12407369,"grand"
12302061,"celui"
12167690,"là"
12100015,"ceux"
11979143,"r"
11971613,"quand"
11949786,"toute"
11921855,"quelques"
11898902,"avoir"
11591355,"o"
11584311,"paris"
11449041,"doit"
11412435,"dire"
11390454,"saint"
11374080,"cas"
11105948,"donc"
11062325,"trois"
11005602,"ni"
11004501,"celle"
10857471,"partie"
10797968,"toujours"
10778906,"l'on"
10720061,"notre"
10674100,"faut"
10642315,"autre"
10531313,"nos"
10507752,"lieu"
10343836,"qu'elle"
10140618,"jour"
10126716,"loi"
9855590,"roi"
9633286,"elles"
9596670,"france"
9428969,"qu'ils"
9394050,"nom"
9392925,"ma"
9335296,"car"
9332209,"h"
9261004,"grande"
9179030,"ii"
9154040,"corps"
9072713,"fois"
9041113,"pendant"
8940137,"rien"
8800251,"art"
8780306,"moi"
8711783,"général"
8626162,"b"
8603537,"avant"
8571576,"alors"
8535481,"depuis"
8498284,"cela"
8488575,"sera"
8460556,"dieu"
8428562,"vers"
8386236,"vie"
8326003,"premier"
8233773,"ans"
8219989,"chez"
8204337,"ci"
8032211,"quelque"
7987959,"g"
7986210,"voir"
7876083,"nombre"
7841811,"jamais"
7717255,"ville"
7676907,"do"
7635154,"plusieurs"
7525697,"n'a"
7424223,"mort"
7346367,"votre"
7344704,"tu"
7307158,"chaque"
7189287,"devant"
7172281,"etc"
7158196,"hommes"
7066795,"jours"
7060273,"trop"
7040434,"beaucoup"
7026821,"tant"
6975691,"j'ai"
6935692,"femme"
6919030,"part"
6913699,"homme"
6827787,"étaient"
6738983,"puis"
6696515,"enfin"
6644840,"assez"
6633595,"seulement"
6595742,"terre"
6591749,"s'il"
6545787,"eu"
6530539,"quatre"
6494552,"fit"
6473152,"forme"
6469720,"pays"
6462706,"souvent"
6454801,"première"
6366705,"font"
6315064,"près"
6306371,"fort"
6298391,"n'y"
6211196,"mes"
6194306,"donner"
6188094,"cependant"
6065905,"effet"
6050958,"l'autre"
6046972,"parce"
6045691,"eux"
6045576,"déjà"
6027664,"serait"
5986926,"mois"
5907194,"laquelle"
5881909,"avons"
5862575,"fils"
5832257,"père"
5823594,"te"
5822864,"nature"
5781355,"lorsque"
5756999,"peuvent"
5660199,"trouve"
5646507,"seul"
5642904,"monde"
5612066,"chose"
5581254,"ayant"
5565145,"x"
5550840,"moment"
5545337,"ici"
5544628,"jusqu'à"
5503781,"bon"
5443241,"cause"
5432112,"fr"
5415734,"petit"
5414404,"côté"
5377276,"raison"
5368110,"u"
5346284,"main"
5325250,"porte"
5267365,"avaient"
5262863,"mêmes"
5234061,"guerre"
5204452,"tête"
5193720,"peine"
5191685,"cour"
5179320,"place"
5165373,"an"
5126581,"qu'un"
5109618,"suite"
5108419,"parties"
5084154,"manière"
5005959,"reste"
4949010,"surtout"
4944130,"presque"
4930985,"celles"
4920464,"donne"
4880017,"d'autres"
4800074,"conseil"
4790992,"moyen"
4732611,"dès"
4713764,"maison"
4708333,"pu"
4683190,"prendre"
4667977,"yeux"
4657184,"suivant"
4648965,"suis"
4629079,"bois"
4615229,"jeune"
4583770,"dessus"
4573601,"titre"
4570044,"n'en"
4556476,"pouvoir"
4547360,"louis"
4540703,"donné"
4527335,"vu"
4503380,"qu'à"
4496974,"cinq"
4493408,"dernier"
4475798,"force"
4474416,"mieux"
4474272,"aucun"
4456202,"droits"
4454426,"personne"
4433380,"jean"
4409400,"prix"
4352386,"état"
4321558,"mot"
4318477,"aucune"
4316637,"sens"
4309249,"français"
4281692,"fin"
4248585,"iii"
4228403,"vue"
4226560,"lequel"
4214595,"lettre"
4204616,"rendre"
4180686,"l'art"
4168200,"heures"
4144051,"choses"
4139375,"ait"
4137877,"haut"
4134518,"seront"
4128999,"pierre"
4115204,"bonne"
4097701,"mars"
4089790,"mère"
4087051,"mal"
4072222,"l'un"
4057888,"société"
4050777,"grands"
4037260,"travail"
4034866,"nouvelle"
4016816,"famille"
4015831,"qu'une"
4003305,"rapport"
4001787,"dix"
3987418,"d'après"
3971393,"question"
3959405,"petite"
3936096,"d'être"
3933322,"étant"
3923526,"nouveau"
3920646,"contraire"
3918016,"mai"
3914604,"l'état"
3912559,"avoit"
3904264,"doivent"
3890755,"furent"
3886983,"gouvernement"
3878676,"vos"
3878433,"siècle"
3855163,"bas"
