n,annee
521,1915
810,1916
7646,1919
1460,1921
538,1924
256,1925
407,1926
3686,1928
2925,1929
13559,1930
22057,1931
35408,1932
19702,1933
48009,1934
42594,1935
112796,1936
85739,1937
111601,1938
52869,1939
19192,1940
47857,1941
77292,1942
80541,1943
40104,1944
90179,1945
54872,1946
83864,1947
41564,1948
53886,1949
73788,1950
126399,1951
128582,1952
112157,1953
68732,1954
137354,1955
134673,1956
120008,1957
182256,1958
135299,1959
91817,1960
109982,1961
162692,1962
194076,1963
183378,1964
143452,1965
99023,1966
165133,1967
105104,1968
126006,1969
147469,1970
137269,1971
150347,1972
134981,1973
146111,1974
153285,1975
184534,1976
141777,1977
166335,1978
146879,1979
136473,1980
205758,1981
144136,1982
182108,1983
162236,1984
133214,1985
149549,1986
98219,1987
121030,1988
84240,1989
129691,1990
118846,1991
115504,1992
112198,1993
121706,1994
122225,1995
118930,1996
148448,1997
181415,1998
167373,1999
143664,2000
230748,2001
216192,2002
322448,2003
387473,2004
381243,2005
399761,2006
354079,2007
493768,2008
480261,2009
395938,2010
472879,2011
510744,2012
628171,2013
542090,2014
469049,2015
572736,2016
417602,2017
455507,2018
459987,2019
214828,2020
