n,annee
42309,1914
41175,1915
27732,1916
7812,1917
10602,1918
13857,1919
16584,1920
22524,1921
14436,1922
28836,1923
62028,1924
80220,1925
31695,1926
62457,1927
70086,1928
163527,1929
395169,1930
567702,1931
630510,1932
343091,1933
316438,1934
430811,1935
487740,1936
447100,1937
284495,1938
422047,1939
597200,1940
599707,1941
580044,1942
488102,1943
508797,1944
503277,1945
589716,1946
689535,1947
713281,1948
636809,1949
807587,1950
722358,1951
619390,1952
693162,1953
727417,1954
841036,1955
750880,1956
841485,1957
766840,1958
632746,1959
577545,1960
508661,1961
557582,1962
499150,1963
585404,1964
619548,1965
571698,1966
522721,1967
648657,1968
480630,1969
539261,1970
687461,1971
647158,1972
657869,1973
610264,1974
489926,1975
486771,1976
511733,1977
625608,1978
570321,1979
569438,1980
580088,1981
661212,1982
638590,1983
679603,1984
742052,1985
681446,1986
847013,1987
903709,1988
846081,1989
997174,1990
893060,1991
895803,1992
935410,1993
952230,1994
1125402,1995
1270504,1996
1295528,1997
1323032,1998
1317213,1999
1600615,2000
1770184,2001
1900556,2002
1825910,2003
2083172,2004
2256089,2005
2769769,2006
3040359,2007
2999492,2008
3095816,2009
2672047,2010
2873770,2011
2805546,2012
2810142,2013
3128183,2014
2790556,2015
3167141,2016
3145501,2017
2928584,2018
2861528,2019
1542953,2020
