n,annee,mois,jour
23809,1861,4,25
23923,1861,4,26
23749,1861,4,27
25529,1861,4,29
25927,1861,4,30
28006,1861,5,1
27416,1861,5,2
28025,1861,5,3
28732,1861,5,4
26190,1861,5,6
28122,1861,5,7
26671,1861,5,8
26901,1861,5,9
25234,1861,5,10
24400,1861,5,11
24537,1861,5,12
24419,1861,5,13
26039,1861,5,14
26961,1861,5,15
27942,1861,5,16
25253,1861,5,17
25147,1861,5,18
25769,1861,5,19
23531,1861,5,20
20830,1861,5,21
24076,1861,5,22
21616,1861,5,23
27743,1861,5,24
26312,1861,5,25
21820,1861,5,26
25272,1861,5,27
21709,1861,5,28
26678,1861,5,29
22877,1861,5,30
28764,1861,5,31
26193,1861,6,1
28562,1861,6,2
22612,1861,6,3
26154,1861,6,4
26414,1861,6,5
25398,1861,6,6
26369,1861,6,7
26895,1861,6,8
25219,1861,6,9
29446,1861,6,10
29114,1861,6,11
28259,1861,6,12
27996,1861,6,13
27255,1861,6,14
28823,1861,6,15
28631,1861,6,16
25651,1861,6,17
26296,1861,6,18
23469,1861,6,19
29502,1861,6,20
27526,1861,6,21
25102,1861,6,22
24829,1861,6,23
25023,1861,6,24
27242,1861,6,25
29930,1861,6,26
27777,1861,6,27
30078,1861,6,28
25847,1861,6,29
25465,1861,6,30
27926,1861,7,1
26366,1861,7,2
25495,1861,7,3
30583,1861,7,4
28880,1861,7,5
26136,1861,7,6
29788,1861,7,7
29521,1861,7,8
28692,1861,7,9
30425,1861,7,10
29864,1861,7,11
28027,1861,7,12
27544,1861,7,13
22711,1861,7,14
25915,1861,7,15
26579,1861,7,16
25801,1861,7,17
27697,1861,7,18
26652,1861,7,19
25839,1861,7,20
23706,1861,7,21
27270,1861,7,22
24698,1861,7,23
26033,1861,7,24
26666,1861,7,25
28210,1861,7,26
26427,1861,7,27
26552,1861,7,28
25062,1861,7,29
26756,1861,7,30
25522,1861,7,31
26781,1861,8,1
29534,1861,8,2
29543,1861,8,3
26799,1861,8,4
27225,1861,8,5
26311,1861,8,6
26392,1861,8,7
26581,1861,8,8
24549,1861,8,9
26878,1861,8,10
24970,1861,8,11
24243,1861,8,12
26906,1861,8,13
25748,1861,8,14
26986,1861,8,15
22584,1861,8,16
27050,1861,8,17
25555,1861,8,18
25974,1861,8,19
24506,1861,8,20
22522,1861,8,21
26041,1861,8,22
29562,1861,8,23
26328,1861,8,24
24918,1861,8,25
26216,1861,8,26
27381,1861,8,27
