Nom_commune,Code_postal
abbeville,80
agde,34
agen,47
ahuille,53
airaines,80
aix,19
aix en provence,13
aix les bains,73
ajaccio,20
alan,31
albert,80
albi,81
alencon,61
ales,30
alfortville,94
altier,48
altkirch,68
amiens,80
ammerschwihr,68
anduze,30
angers,49
angouleme,16
aniche,59
annecy,74
annonay,7
antibes,6
antony,92
aoste,38
apt,84
arbois,39
arcachon,33
arcis sur aube,10
arcueil,94
argeles sur mer,66
argelliers,34
argentan,61
argenteuil,95
argenton,47
arles,13
armentieres,59
arnac pompadour,19
arras,62
ars sur formans,1
asnieres,27
astaffort,47
aubenas,7
aubervilliers,93
aubusson,61
aubusson,23
auch,32
audincourt,25
aulus les bains,9
aurillac,15
autun,71
auxerre,89
avallon,89
avesnes,62
aveze,30
aveze,72
aveze,63
avignon,84
avranches,50
bagneres de bigorre,65
bagneux,3
bagneux,54
bagneux,36
bagneux,2
bagneux,51
bagneux,92
bagnoles,11
bagnolet,93
bapaume,62
bar le duc,55
bar sur aube,10
bar sur seine,10
basse terre,97
bastia,20
bavay,59
bayeux,14
bayonne,64
bazas,33
beauchamp,95
beauchamps,80
beauchamps,50
beaugency,45
beaulieu sur mer,6
beaumarches,32
beaumont de lomagne,82
beaumont sur oise,95
beaune,21
beausoleil,6
beauvais,60
bedee,35
belfort,90
bellac,87
belleme,61
belley,1
bergerac,24
bernay,27
berne,56
besancon,25
beziers,34
biarritz,64
bievres,8
bievres,91
bievres,2
billancourt,80
bischwiller,67
blaye,33
blois,41
bobigny,93
bois colombes,92
bolbec,76
bonneuil,16
bonneuil,36
bonneville,74
bonneville,80
bordeaux,33
bougival,78
bouillon,64
boulogne billancourt,92
boulogne sur mer,62
bourbon lancy,71
bourbonne les bains,52
bourg,52
bourg,33
bourg de peage,26
bourg en bresse,1
bourg la reine,92
bourg les valence,26
bourges,18
boussac,12
boussac,23
boussac,46
bouville,91
bouville,76
bouville,28
brassy,58
brassy,80
bray sur seine,77
bray sur somme,80
brest,29
briancon,5
brides les bains,73
brie comte robert,77
brignais,69
bruges,33
cadillac,33
caen,14
cagnes sur mer,6
cahors,46
calais,62
caluire et cuire,69
cambrai,59
cannes,6
carcassonne,11
carmaux,81
carpentras,84
castellane,4
castelnaudary,11
castelsarrasin,82
castillon en couserans,9
castres,2
castres,81
castries,34
cavaillon,84
cayenne,97
cayeux sur mer,80
cempuis,60
ceret,66
chabanais,16
chalon sur saone,71
chalons en champagne,51
chamalieres,63
chambery,73
champeaux,50
champeaux,77
champeaux,35
charbuy,89
charleville,51
charleville mezieres,8
charolles,71
charquemont,25
chartres,28
chateau gaillard,1
chateau thierry,2
chateaudun,28
chateauroux,36
chatellerault,86
chatillon,92
chatillon,69
chatillon,3
chatillon,39
chatillon sur seine,21
chaumont,89
chaumont,61
chaumont,74
chaumont,52
chaumont,18
chauny,2
chauve,44
chinon,37
choisy le roi,94
cholet,49
chomerac,7
clamart,92
clamecy,58
clamecy,2
clermont,9
clermont,74
clermont,40
clermont,60
clermont ferrand,63
clichy,92
cluny,71
cogna,39
cognac,16
colmar,68
cologne,32
colombes,92
comines,59
commentry,3
compiegne,60
condom,32
confolens,16
congenies,30
corbeil,51
corquilleroy,45
coulommiers,77
courbevoie,92
cours,79
cours,69
cours,47
coutances,50
craon,86
craon,53
crecy en ponthieu,80
creteil,94
curbigny,71
cusset,3
dammarie les lys,77
dax,40
denain,59
dieppe,76
dijon,21
dinan,22
dinard,35
dole,39
douai,59
douarnenez,29
doullens,80
dounoux,88
dourdan,91
draguignan,83
drancy,93
dreux,28
dunkerque,59
eaubonne,95
eaux bonnes,64
ecoyeux,17
elbeuf,76
enghien les bains,95
epernay,51
epinal,88
epone,78
ermont,95
etampes,91
evreux,27
evron,53
falaise,14
falaise,8
fecamp,76
feurs,42
fitz james,60
flers,80
flers,61
flers,62
foix,9
fontainebleau,77
fontenay aux roses,92
fontenay le comte,85
fontenay sous bois,94
forbach,57
forcalquier,4
fort de france,97
fougeres,35
fourmies,59
fresnes,21
fresnes,89
fresnes,94
fresnes,41
fribourg,57
gaillac,81
gap,5
garches,92
gennevilliers,92
gentilly,94
gerardmer,88
ghisoni,20
gien,45
gisors,27
givry,8
givry,71
givry,89
gorron,53
grandjean,17
granville,50
grasse,6
gray,70
grenoble,38
grignols,24
grignols,33
guebwiller,68
guerande,44
gueret,23
guethary,64
guillestre,5
guipavas,29
guise,2
haguenau,67
hallencourt,80
halluin,59
ham,80
harfleur,76
hazebrouck,59
hendaye,64
hennebont,56
hericourt,70
hericourt,62
houplines,59
huningue,68
hyeres,83
illiers combray,28
indre,44
issoudun,36
ivry sur seine,94
jallans,28
joigny,89
joinville le pont,94
jonzac,17
juilly,21
juilly,77
juvisy sur orge,91
kolbsheim,67
kunheim,68
la bassee,59
la chapelle montligeon,61
la chatre,36
la chaume,21
la ciotat,13
la fere,2
la ferte mace,61
la ferte milon,2
la fleche,72
la haye,50
la haye,76
la haye,88
la neuve lyre,27
la roche sur yon,85
la rochelle,17
la rochelle,70
la tremblade,17
labastide rouairoux,81
lagny,60
lamalou les bains,34
lambersart,59
landerneau,29
langon,33
langon,35
langres,52
lannion,22
lanzac,46
laon,2
lapalisse,3
lapleau,19
largentiere,7
lauzerte,82
laval,53
lavaur,24
lavaur,81
le boulou,66
le bourget,93
le bouscat,33
le caire,4
le collet de deze,48
le creusot,71
le gua,17
le gua,38
le havre,76
le kremlin bicetre,94
le mans,72
le neubourg,27
le puy,25
le puy,33
le puy en velay,43
le raincy,93
le vesinet,78
le vigan,46
le vigan,30
lens,62
les lilas,93
les noes,42
les ulis,91
levallois perret,92
lezay,79
lezignan,65
libourne,33
lievin,62
liguge,86
lille,59
lillebonne,76
limoges,87
limoux,11
lisieux,14
livry,58
livry gargan,93
loches,37
lodeve,34
loix,17
lombez,32
longchaumois,39
longjumeau,91
longuyon,54
lons le saunier,39
lorient,56
louhans,71
lourdes,65
louviers,27
lucon,85
lunel,34
luneray,76
luneville,54
lyon,69
macon,71
maidieres,54
maisons alfort,94
malzeville,54
mamers,72
manheulles,55
manosque,4
marcigny,71
marennes,69
marly le roi,78
