"date","base_temp"
"1631",1
"1632",2
"1633",2
"1634",2
"1635",1
"1636",1
"1637",0
"1638",0
"1639",0
"1640",1
"1641",1
"1642",3
"1643",1
"1644",156
"1645",1
"1646",3
"1647",75
"1648",2
"1649",25
"1650",3
"1651",3
"1652",5
"1653",2
"1654",91
"1655",2
"1656",89
"1657",2
"1658",2
"1659",2
"1660",1
"1661",2
"1662",75
"1663",2
"1664",2
"1665",2
"1666",4
"1667",91
"1668",6
"1669",82
"1670",2
"1671",3
"1672",85
"1673",1
"1674",63
"1675",127
"1676",116
"1677",2
"1678",8
"1679",18
"1680",17
"1681",15
"1682",13
"1683",14
"1684",13
"1685",14
"1686",16
"1687",15
"1688",16
"1689",75
"1690",14
"1691",15
"1692",15
"1693",14
"1694",14
"1695",67
"1696",18
"1697",208
"1698",124
"1699",23
"1700",31
"1701",30
"1702",30
"1703",27
"1704",31
"1705",28
"1706",28
"1707",20
"1708",22
"1709",121
"1710",50
"1711",121
"1712",148
"1713",58
"1714",113
"1715",116
"1716",120
"1717",139
"1718",139
"1719",138
"1720",137
"1721",194
"1722",180
"1723",139
"1724",126
"1725",58
"1726",41
"1727",32
"1728",37
"1729",31
"1730",29
"1731",32
"1732",31
"1733",37
"1734",75
"1735",181
"1736",115
"1737",163
"1738",159
"1739",167
"1740",130
"1741",203
"1742",144
"1743",126
"1744",136
"1745",72
"1746",185
"1747",237
"1748",188
"1749",179
"1750",137
"1751",32
"1752",224
"1753",144
"1754",106
"1755",68
"1756",76
"1757",178
"1758",66
"1759",51
"1760",183
"1761",153
"1762",212
"1763",437
"1764",339
"1765",393
"1766",364
"1767",351
"1768",350
"1769",351
"1770",408
"1771",412
"1772",303
"1773",491
"1774",660
"1775",631
"1776",480
"1777",891
"1778",904
"1779",943
"1780",830
"1781",870
"1782",649
"1783",803
"1784",582
"1785",612
"1786",634
"1787",673
"1788",798
"1789",2437
"1790",4428
"1791",6041
"1792",4691
"1793",4204
"1794",3703
"1795",2577
"1796",3544
"1797",3993
"1798",3075
"1799",2764
"1800",2186
"1801",1957
"1802",2700
"1803",2387
"1804",2596
"1805",2285
"1806",2328
"1807",2418
"1808",2156
"1809",2451
"1810",2159
"1811",2178
"1812",2127
"1813",2218
"1814",2565
"1815",2636
"1816",3049
"1817",3035
"1818",3101
"1819",3704
"1820",3947
"1821",4431
"1822",4981
"1823",4861
"1824",4603
"1825",4498
"1826",5865
"1827",4738
"1828",5919
"1829",6665
"1830",7112
"1831",6238
"1832",7019
"1833",7589
"1834",6751
"1835",7081
"1836",7595
"1837",8437
"1838",7988
"1839",7366
"1840",7069
"1841",7608
"1842",7392
"1843",7641
"1844",8139
"1845",8754
"1846",8656
"1847",7837
"1848",9164
"1849",10871
"1850",12605
"1851",11915
"1852",9975
"1853",8820
"1854",8092
"1855",7640
"1856",8355
"1857",8876
"1858",8317
"1859",8678
"1860",9566
"1861",9786
"1862",9527
"1863",11123
"1864",10674
"1865",11689
"1866",11472
"1867",11913
"1868",13937
"1869",16667
"1870",16893
"1871",15794
"1872",19151
"1873",20224
"1874",20652
"1875",22549
"1876",23435
"1877",23801
"1878",24488
"1879",25637
"1880",27867
"1881",29598
"1882",33697
"1883",33240
"1884",33886
"1885",34470
"1886",35232
"1887",36392
"1888",37914
"1889",40609
"1890",40502
"1891",40992
"1892",42041
"1893",43314
"1894",44553
"1895",45061
"1896",44575
"1897",44480
"1898",44945
"1899",44449
"1900",45139
"1901",45777
"1902",46793
"1903",47595
"1904",47352
"1905",45938
"1906",45937
"1907",44995
"1908",43687
"1909",41648
"1910",42369
"1911",43014
"1912",44159
"1913",45749
"1914",40470
"1915",33668
"1916",37212
"1917",37638
"1918",36596
"1919",40071
"1920",38325
"1921",39962
"1922",39526
"1923",41331
"1924",40555
"1925",40291
"1926",39324
"1927",39313
"1928",39864
"1929",38509
"1930",37777
"1931",38154
"1932",36663
"1933",36088
"1934",37173
"1935",36464
"1936",35893
"1937",33662
"1938",31649
"1939",26751
"1940",18584
"1941",17972
"1942",16597
"1943",16327
"1944",13452
"1945",7741
"1946",8243
"1947",8190
"1948",7936
"1949",7291
"1950",6252
"1951",3400
"1952",2980
"1953",2687
"1954",3015
"1955",2983
"1956",2730
"1957",2679
"1958",2797
"1959",2318
"1960",1927
"1961",1550
"1962",1560
"1963",1368
"1964",1369
"1965",1399
"1966",1441
"1967",1199
"1968",1335
"1969",1381
"1970",995
"1971",877
"1972",936
"1973",833
"1974",798
"1975",844
"1976",823
"1977",848
"1978",836
"1979",877
"1980",870
"1981",813
"1982",789
"1983",760
"1984",775
"1985",745
"1986",820
"1987",863
"1988",835
"1989",855
"1990",1005
"1991",816
"1992",798
"1993",832
"1994",806
"1995",859
"1996",827
"1997",762
"1998",745
"1999",633
"2000",643
"2001",553
"2002",516
"2003",480
"2004",466
"2005",393
"2006",359
"2007",342
"2008",313
"2009",291
"2010",201
"2011",190
"2012",178
"2013",142
"2014",116
"2015",105
"2016",71
"2017",54
"2018",39
"2019",7
"2020",0
"2021",0
